Data;Tipo de Despesa;Valor;Descrição
05/01/2024 07:47;Folha de pagamento;104195;Folha de pagamento - #9830
05/01/2024 16:31;Energia;207861;Energia - #1771
05/01/2024 20:10;Fretes;190408;Fretes - #7916
06/01/2024 17:46;Embalagem;114241;Embalagem - #3677
08/01/2024 09:05;Aluguel;222261;Aluguel - #4814
09/01/2024 20:44;Contabilidade;16995;Contabilidade - #4598
10/01/2024 20:32;Fretes;215886;Fretes - #4258
12/01/2024 06:42;Folha de pagamento;248156;Folha de pagamento - #2169
13/01/2024 08:04;Companhia de mídia;136143;Companhia de mídia - #6155
13/01/2024 08:29;Fretes;21232;Fretes - #6977
13/01/2024 12:38;Embalagem;136443;Embalagem - #9669
13/01/2024 21:41;Expedição;200185;Expedição - #8177
14/01/2024 05:29;Folha de pagamento;100863;Folha de pagamento - #5315
14/01/2024 06:59;Fretes;240724;Fretes - #4295
15/01/2024 03:15;Compras de equipamentos;234011;Compras de equipamentos - #2049
16/01/2024 12:56;Folha de pagamento;183825;Folha de pagamento - #8517
18/01/2024 00:43;Folha de pagamento;19778;Folha de pagamento - #2876
18/01/2024 08:49;Expedição;234394;Expedição - #6573
19/01/2024 13:57;Folha de pagamento;13285;Folha de pagamento - #7543
19/01/2024 17:14;Folha de pagamento;22114;Folha de pagamento - #4608
20/01/2024 10:31;Materiais de Escritório;125639;Materiais de Escritório - #2832
20/01/2024 11:36;Fretes;136903;Fretes - #2139
25/01/2024 05:32;Materiais de Limpeza;233793;Materiais de Limpeza - #2743
25/01/2024 05:34;Folha de pagamento;156367;Folha de pagamento - #9689
25/01/2024 17:49;Companhia de mídia;115206;Companhia de mídia - #3103
27/01/2024 01:14;Expedição;104738;Expedição - #1525
29/01/2024 09:15;Materiais de Escritório;258971;Materiais de Escritório - #4946
30/01/2024 12:05;Alimentação;145521;Alimentação - #5803
31/01/2024 02:05;Devoluções e ressarcimento;155759;Devoluções e ressarcimento - #8962
31/01/2024 17:10;Expedição;115867;Expedição - #9645
01/02/2024 05:47;Devoluções e ressarcimento;220003;Devoluções e ressarcimento - #6442
04/02/2024 08:11;Manutenção predial;126645;Manutenção predial - #5349
05/02/2024 00:02;Companhia de mídia;109384;Companhia de mídia - #8784
07/02/2024 13:50;Folha de pagamento;205294;Folha de pagamento - #6279
07/02/2024 21:15;Compras de equipamentos;162147;Compras de equipamentos - #2684
08/02/2024 05:51;Materiais de Escritório;165833;Materiais de Escritório - #3900
08/02/2024 06:52;Fretes;124161;Fretes - #8541
09/02/2024 02:49;Energia;192808;Energia - #6753
10/02/2024 11:57;Folha de pagamento;202099;Folha de pagamento - #1653
10/02/2024 12:35;Embalagem;177278;Embalagem - #1006
10/02/2024 16:19;Expedição;122245;Expedição - #7691
12/02/2024 18:35;Aluguel;227485;Aluguel - #8041
13/02/2024 21:47;Sistemas;93473;Sistemas - #3851
13/02/2024 21:53;Embalagem;108503;Embalagem - #6425
