Data,Tipo de Despesa,Valor,Descrição
02/05/2024  07:25:38,Expedição,1660.34,Expedição - #1897
04/05/2024  00:31:47,Folha de pagamento,1467.11,Folha de pagamento - #8055
04/05/2024  11:54:35,Folha de pagamento,1307.11,Folha de pagamento - #7022
07/05/2024  16:07:22,Sistemas,1126.39,Sistemas - #8043
09/05/2024  18:14:51,Folha de pagamento,1933.28,Folha de pagamento - #8030
10/05/2024  06:49:08,Aluguel,2385.39,Aluguel - #5186
11/05/2024  18:38:05,Folha de pagamento,2543.41,Folha de pagamento - #1861
12/05/2024  04:35:03,Serviços de terceiros,1667.84,Serviços de terceiros - #6400
12/05/2024  04:43:59,Expedição,1135.44,Expedição - #8770
13/05/2024  17:45:14,Folha de pagamento,1190.63,Folha de pagamento - #9196
14/05/2024  11:55:42,Expedição,1530.64,Expedição - #7929
14/05/2024  14:21:10,Folha de pagamento,1004.18,Folha de pagamento - #7062
15/05/2024  02:55:20,Sistemas,1947.93,Sistemas - #8033
17/05/2024  19:27:06,Folha de pagamento,979.73,Folha de pagamento - #2874
19/05/2024  16:13:09,Folha de pagamento,1673.78,Folha de pagamento - #8900
21/05/2024  17:46:55,Fretes,1376.83,Fretes - #4522
22/05/2024  11:04:25,Água,1155.4,Água - #1693
22/05/2024  13:31:38,Folha de pagamento,1632.84,Folha de pagamento - #8242
22/05/2024  21:37:31,Folha de pagamento,2088.08,Folha de pagamento - #9633
22/05/2024  22:17:01,Embalagem,2400.48,Embalagem - #3955
23/05/2024  10:24:38,Embalagem,1891.51,Embalagem - #9692
24/05/2024  01:18:38,Fretes,1899.16,Fretes - #6119
24/05/2024  03:20:27,Energia,1624.38,Energia - #6120
24/05/2024  20:01:05,Aluguel,1978.2,Aluguel - #9691
25/05/2024  09:58:21,Folha de pagamento,2002.96,Folha de pagamento - #6751
25/05/2024  19:03:43,Folha de pagamento,2302.7,Folha de pagamento - #2336
25/05/2024  19:39:43,Fretes,2111.69,Fretes - #1430
27/05/2024  02:05:27,Aluguel,1055.74,Aluguel - #2582
28/05/2024  04:36:42,Aluguel,1434.53,Aluguel - #7566
29/05/2024  07:26:21,Sistemas,1156.3,Sistemas - #8430
