Data;Tipo de Despesa;Valor;Descrição
13/10/2024 16:08;Alimentação;308451;Alimentação - pagamento referente a Oct 2024
19/10/2024 01:35;Manutenção de equipamento;41974;Manutenção de equipamento - pagamento referente a Oct 2024
15/10/2024 04:32;Fretes;18059;Fretes - pagamento referente a Oct 2024
26/10/2024 16:20;Companhia de mídia;41787;Companhia de mídia - pagamento referente a Oct 2024
31/10/2024 21:55;Contabilidade;126227;Contabilidade - pagamento referente a Oct 2024
27/10/2024 10:15;Contabilidade;208752;Contabilidade - pagamento referente a Oct 2024
10/10/2024 22:09;Fretes;6983;Fretes - pagamento referente a Oct 2024
09/10/2024 06:21;Energia;189937;Energia - pagamento referente a Oct 2024
21/10/2024 21:27;Devoluções e ressarcimento;35597;Devoluções e ressarcimento - pagamento referente a Oct 2024
03/10/2024 16:28;Folha de pagamento;205725;Folha de pagamento - pagamento referente a Oct 2024
09/10/2024 01:35;Internet;238481;Internet - pagamento referente a Oct 2024
30/10/2024 15:02;Companhia de mídia;5531;Companhia de mídia - pagamento referente a Oct 2024
02/10/2024 14:38;Folha de pagamento;195553;Folha de pagamento - pagamento referente a Oct 2024
07/10/2024 06:47;Devoluções e ressarcimento;4697;Devoluções e ressarcimento - pagamento referente a Oct 2024
02/10/2024 11:41;Serviços de terceiros;10238;Serviços de terceiros - pagamento referente a Oct 2024
14/10/2024 04:19;Internet;350562;Internet - pagamento referente a Oct 2024
15/10/2024 21:46;Companhia de mídia;7692;Companhia de mídia - pagamento referente a Oct 2024
26/10/2024 21:26;Aluguel;319684;Aluguel - pagamento referente a Oct 2024
05/10/2024 16:18;Manutenção predial;91144;Manutenção predial - pagamento referente a Oct 2024
26/10/2024 09:46;Serviços de terceiros;38342;Serviços de terceiros - pagamento referente a Oct 2024
18/10/2024 16:08;Alimentação;120832;Alimentação - pagamento referente a Oct 2024
08/10/2024 06:04;Eventos;46359;Eventos - pagamento referente a Oct 2024
03/10/2024 01:27;Energia;159199;Energia - pagamento referente a Oct 2024
09/10/2024 00:47;Manutenção predial;55938;Manutenção predial - pagamento referente a Oct 2024
11/10/2024 18:38;Manutenção de equipamento;33231;Manutenção de equipamento - pagamento referente a Oct 2024
31/10/2024 13:23;Serviços de terceiros;39433;Serviços de terceiros - pagamento referente a Oct 2024
30/10/2024 14:54;Energia;204458;Energia - pagamento referente a Oct 2024
08/10/2024 17:13;Folha de pagamento;109961;Folha de pagamento - pagamento referente a Oct 2024
30/10/2024 23:48;Folha de pagamento;57702;Folha de pagamento - pagamento referente a Oct 2024
09/10/2024 12:43;Eventos;50;Eventos - pagamento referente a Oct 2024
15/10/2024 12:24;Manutenção de equipamento;48925;Manutenção de equipamento - pagamento referente a Oct 2024
08/10/2024 23:02;Fretes;36999;Fretes - pagamento referente a Oct 2024
18/10/2024 23:53;Folha de pagamento;287535;Folha de pagamento - pagamento referente a Oct 2024
25/10/2024 17:30;Alimentação;307634;Alimentação - pagamento referente a Oct 2024
07/10/2024 10:19;Aluguel;16585;Aluguel - pagamento referente a Oct 2024
15/10/2024 11:09;Segurança e Monitoramento;100428;Segurança e Monitoramento - pagamento referente a Oct 2024
24/10/2024 21:35;Devoluções e ressarcimento;2605;Devoluções e ressarcimento - pagamento referente a Oct 2024
22/10/2024 16:14;Vale Transporte;258061;Vale Transporte - pagamento referente a Oct 2024
18/10/2024 12:52;Alimentação;138097;Alimentação - pagamento referente a Oct 2024
18/10/2024 01:59;Energia;17841;Energia - pagamento referente a Oct 2024
30/10/2024 01:35;Companhia de mídia;1722;Companhia de mídia - pagamento referente a Oct 2024
06/10/2024 04:49;Materiais de Limpeza;18893;Materiais de Limpeza - pagamento referente a Oct 2024
27/10/2024 00:48;Vale Transporte;233075;Vale Transporte - pagamento referente a Oct 2024
21/10/2024 11:07;Materiais de Escritório;5174;Materiais de Escritório - pagamento referente a Oct 2024
02/10/2024 02:12;Manutenção predial;68239;Manutenção predial - pagamento referente a Oct 2024
