Data;Tipo de Despesa;Valor;Descrição
02/01/2024 02:19;Companhia de mídia;153814;Companhia de mídia - #3317
04/01/2024 12:08;Serviços de terceiros;245795;Serviços de terceiros - #3187
06/01/2024 09:56;Folha de pagamento;156017;Folha de pagamento - #9586
07/01/2024 05:19;Expedição;256826;Expedição - #2316
11/01/2024 09:52;Energia;207762;Energia - #7956
14/01/2024 08:36;Folha de pagamento;163482;Folha de pagamento - #1467
15/01/2024 12:10;Companhia de mídia;177134;Companhia de mídia - #1013
15/01/2024 17:11;Folha de pagamento;129315;Folha de pagamento - #1356
15/01/2024 18:20;Internet;297188;Internet - #7191
16/01/2024 07:16;Expedição;15399;Expedição - #7114
16/01/2024 17:43;Folha de pagamento;233299;Folha de pagamento - #4481
16/01/2024 21:25;Embalagem;146553;Embalagem - #1657
17/01/2024 00:39;Energia;126028;Energia - #7523
18/01/2024 02:22;Embalagem;243657;Embalagem - #1440
18/01/2024 11:00;Folha de pagamento;215721;Folha de pagamento - #3610
18/01/2024 18:13;Energia;134845;Energia - #8108
19/01/2024 04:08;Folha de pagamento;293643;Folha de pagamento - #6458
20/01/2024 05:49;Folha de pagamento;283382;Folha de pagamento - #7047
20/01/2024 14:37;Sistemas;25848;Sistemas - #8126
21/01/2024 03:11;Folha de pagamento;14503;Folha de pagamento - #6865
21/01/2024 07:08;Compras de equipamentos;283973;Compras de equipamentos - #4079
22/01/2024 12:53;Compras de equipamentos;187808;Compras de equipamentos - #4977
25/01/2024 06:16;Aluguel;284486;Aluguel - #8662
26/01/2024 21:50;Folha de pagamento;262114;Folha de pagamento - #4398
28/01/2024 00:10;Embalagem;26836;Embalagem - #8790
28/01/2024 06:27;Folha de pagamento;171119;Folha de pagamento - #5009
29/01/2024 01:20;Expedição;15658;Expedição - #2713
29/01/2024 07:48;Materiais de Limpeza;181213;Materiais de Limpeza - #9306
30/01/2024 03:33;Folha de pagamento;245892;Folha de pagamento - #4054
31/01/2024 16:35;Folha de pagamento;167594;Folha de pagamento - #5406
06/02/2024 23:25;Folha de pagamento;137256;Folha de pagamento - #7693
07/02/2024 06:07;Aluguel;273791;Aluguel - #5740
07/02/2024 13:57;Folha de pagamento;248211;Folha de pagamento - #5569
08/02/2024 05:36;Folha de pagamento;16527;Folha de pagamento - #8731
10/02/2024 02:57;Folha de pagamento;292363;Folha de pagamento - #4391
10/02/2024 10:28;Energia;337393;Energia - #8657
11/02/2024 14:41;Alimentação;166212;Alimentação - #2610
12/02/2024 00:47;Expedição;187197;Expedição - #7378
12/02/2024 02:13;Vale Transporte;247694;Vale Transporte - #9676
12/02/2024 20:06;Folha de pagamento;172452;Folha de pagamento - #6206
13/02/2024 17:08;Manutenção de equipamento;294832;Manutenção de equipamento - #3023
14/02/2024 00:48;Vale Transporte;24098;Vale Transporte - #9040
15/02/2024 07:43;Vale Transporte;265954;Vale Transporte - #8268
15/02/2024 09:52;Internet;185055;Internet - #8363
16/02/2024 17:00;Água;143697;Água - #6580
18/02/2024 12:14;Segurança e Monitoramento;324819;Segurança e Monitoramento - #7618
20/02/2024 07:08;Embalagem;136602;Embalagem - #9247
20/02/2024 14:37;Expedição;284035;Expedição - #6386
20/02/2024 18:10;Aluguel;257147;Aluguel - #6761
20/02/2024 18:46;Manutenção de equipamento;211261;Manutenção de equipamento - #1374
21/02/2024 13:26;Energia;233028;Energia - #4094
22/02/2024 18:05;Energia;294815;Energia - #8971
