Data,Tipo de Despesa,Valor,Descrição
01/06/2024  15:06:20,Aluguel,1597.34,Aluguel - #8931
02/06/2024  21:23:06,Manutenção de equipamento,4073.34,Manutenção de equipamento - #3760
03/06/2024  21:41:20,Fretes,1959.16,Fretes - #9639
04/06/2024  11:43:11,Materiais de Escritório,2769.64,Materiais de Escritório - #9494
04/06/2024  15:12:38,Folha de pagamento,2996.78,Folha de pagamento - #3543
04/06/2024  16:16:01,Contabilidade,3079.33,Contabilidade - #1997
07/06/2024  20:39:31,Eventos,2871.51,Eventos - #3978
10/06/2024  10:08:28,Embalagem,3373.03,Embalagem - #4244
10/06/2024  11:11:45,Folha de pagamento,3374.83,Folha de pagamento - #8051
12/06/2024  03:55:43,Alimentação,3433.3,Alimentação - #3534
12/06/2024  04:15:52,Folha de pagamento,3079.6,Folha de pagamento - #9040
12/06/2024  20:40:05,Folha de pagamento,3471.87,Folha de pagamento - #6565
13/06/2024  01:22:03,Folha de pagamento,3885.43,Folha de pagamento - #8871
13/06/2024  18:44:43,Aluguel,3863.34,Aluguel - #7347
13/06/2024  22:30:08,Companhia de mídia,1968.77,Companhia de mídia - #6624
16/06/2024  02:11:16,Devoluções e ressarcimento,1751.67,Devoluções e ressarcimento - #7576
16/06/2024  23:07:21,Embalagem,2494.53,Embalagem - #2459
17/06/2024  00:00:20,Aluguel,3495.28,Aluguel - #7303
17/06/2024  13:46:10,Embalagem,3051.01,Embalagem - #4188
19/06/2024  05:57:28,Embalagem,4061.22,Embalagem - #3908
20/06/2024  05:53:11,Folha de pagamento,1730.96,Folha de pagamento - #1483
21/06/2024  13:25:27,Folha de pagamento,2407.28,Folha de pagamento - #7177
23/06/2024  11:37:07,Embalagem,3053.55,Embalagem - #2163
23/06/2024  17:33:25,Vale Transporte,2999.99,Vale Transporte - #9951
26/06/2024  14:07:42,Fretes,2449.59,Fretes - #2072
26/06/2024  18:36:23,Folha de pagamento,3458.03,Folha de pagamento - #2136
27/06/2024  14:01:39,Segurança e Monitoramento,4175.63,Segurança e Monitoramento - #1635
29/06/2024  03:51:59,Materiais de Escritório,2145.99,Materiais de Escritório - #6106
30/06/2024  10:29:59,Manutenção de equipamento,3355.51,Manutenção de equipamento - #9978
30/06/2024  21:45:48,Companhia de mídia,4070.49,Companhia de mídia - #2618
