Data;Tipo de Despesa;Valor;Descrição
21/11/2024 01:38;Expedição;15985;Expedição - pagamento referente a Nov 2024
19/11/2024 05:39;Manutenção predial;6886;Manutenção predial - pagamento referente a Nov 2024
13/11/2024 01:42;Manutenção predial;28395;Manutenção predial - pagamento referente a Nov 2024
23/11/2024 05:43;Água;171095;Água - pagamento referente a Nov 2024
18/11/2024 07:44;Folha de pagamento;210554;Folha de pagamento - pagamento referente a Nov 2024
15/11/2024 11:03;Eventos;20308;Eventos - pagamento referente a Nov 2024
03/11/2024 19:18;Eventos;54445;Eventos - pagamento referente a Nov 2024
09/11/2024 23:44;Internet;182508;Internet - pagamento referente a Nov 2024
27/11/2024 13:07;Segurança e Monitoramento;93062;Segurança e Monitoramento - pagamento referente a Nov 2024
15/11/2024 01:04;Expedição;709;Expedição - pagamento referente a Nov 2024
14/11/2024 00:28;Vale Transporte;189788;Vale Transporte - pagamento referente a Nov 2024
24/11/2024 01:34;Serviços de terceiros;50;Serviços de terceiros - pagamento referente a Nov 2024
11/11/2024 11:52;Contabilidade;175826;Contabilidade - pagamento referente a Nov 2024
24/11/2024 20:47;Energia;214023;Energia - pagamento referente a Nov 2024
24/11/2024 14:27;Fretes;27212;Fretes - pagamento referente a Nov 2024
18/11/2024 08:11;Expedição;50;Expedição - pagamento referente a Nov 2024
08/11/2024 00:45;Alimentação;97233;Alimentação - pagamento referente a Nov 2024
19/11/2024 08:19;Compras de equipamentos;19704;Compras de equipamentos - pagamento referente a Nov 2024
12/11/2024 03:50;Companhia de mídia;33525;Companhia de mídia - pagamento referente a Nov 2024
09/11/2024 16:42;Eventos;27715;Eventos - pagamento referente a Nov 2024
26/11/2024 03:24;Energia;351783;Energia - pagamento referente a Nov 2024
20/11/2024 10:34;Devoluções e ressarcimento;5884;Devoluções e ressarcimento - pagamento referente a Nov 2024
30/11/2024 17:00;Embalagem;64659;Embalagem - pagamento referente a Nov 2024
22/11/2024 14:01;Eventos;46623;Eventos - pagamento referente a Nov 2024
09/11/2024 06:32;Eventos;1475;Eventos - pagamento referente a Nov 2024
20/11/2024 20:20;Alimentação;142639;Alimentação - pagamento referente a Nov 2024
03/11/2024 06:47;Expedição;1712;Expedição - pagamento referente a Nov 2024
13/11/2024 05:43;Água;19353;Água - pagamento referente a Nov 2024
10/11/2024 09:48;Fretes;68255;Fretes - pagamento referente a Nov 2024
22/11/2024 04:17;Fretes;3485;Fretes - pagamento referente a Nov 2024
14/11/2024 08:22;Eventos;20592;Eventos - pagamento referente a Nov 2024
05/11/2024 00:21;Manutenção predial;47385;Manutenção predial - pagamento referente a Nov 2024
15/11/2024 23:31;Materiais de Escritório;50;Materiais de Escritório - pagamento referente a Nov 2024
10/11/2024 01:07;Devoluções e ressarcimento;9876;Devoluções e ressarcimento - pagamento referente a Nov 2024
08/11/2024 05:05;Sistemas;364238;Sistemas - pagamento referente a Nov 2024
13/11/2024 00:11;Água;281882;Água - pagamento referente a Nov 2024
12/11/2024 18:30;Companhia de mídia;18636;Companhia de mídia - pagamento referente a Nov 2024
27/11/2024 14:37;Materiais de Limpeza;50;Materiais de Limpeza - pagamento referente a Nov 2024
22/11/2024 11:16;Embalagem;1966;Embalagem - pagamento referente a Nov 2024
11/11/2024 20:47;Companhia de mídia;33917;Companhia de mídia - pagamento referente a Nov 2024
22/11/2024 09:49;Aluguel;161788;Aluguel - pagamento referente a Nov 2024
01/11/2024 13:13;Companhia de mídia;31306;Companhia de mídia - pagamento referente a Nov 2024
02/11/2024 04:38;Materiais de Limpeza;72393;Materiais de Limpeza - pagamento referente a Nov 2024
08/11/2024 23:52;Manutenção predial;3047;Manutenção predial - pagamento referente a Nov 2024
05/11/2024 23:09;Devoluções e ressarcimento;57219;Devoluções e ressarcimento - pagamento referente a Nov 2024
03/11/2024 20:31;Expedição;4735;Expedição - pagamento referente a Nov 2024
18/11/2024 12:55;Energia;32709;Energia - pagamento referente a Nov 2024
