Data;Tipo de Despesa;Valor;Descrição
01/01/2024 01:42;Embalagem;414527;Embalagem - #5365
01/01/2024 15:05;Serviços de terceiros;18319;Serviços de terceiros - #1118
02/01/2024 04:06;Materiais de Escritório;191457;Materiais de Escritório - #7162
03/01/2024 03:07;Fretes;202506;Fretes - #4613
03/01/2024 17:41;Internet;423486;Internet - #9186
03/01/2024 22:41;Folha de pagamento;318877;Folha de pagamento - #5648
04/01/2024 08:09;Folha de pagamento;411781;Folha de pagamento - #7801
06/01/2024 17:02;Embalagem;374892;Embalagem - #4129
07/01/2024 00:46;Folha de pagamento;179689;Folha de pagamento - #4907
07/01/2024 13:21;Aluguel;372606;Aluguel - #7586
11/01/2024 02:53;Fretes;183484;Fretes - #5750
11/01/2024 12:36;Folha de pagamento;23858;Folha de pagamento - #9444
12/01/2024 10:43;Materiais de Escritório;25138;Materiais de Escritório - #7563
12/01/2024 17:10;Folha de pagamento;358094;Folha de pagamento - #4991
13/01/2024 03:40;Folha de pagamento;267549;Folha de pagamento - #6886
15/01/2024 00:57;Folha de pagamento;337236;Folha de pagamento - #3438
16/01/2024 20:01;Serviços de terceiros;329483;Serviços de terceiros - #1750
19/01/2024 07:59;Folha de pagamento;41613;Folha de pagamento - #1604
21/01/2024 04:00;Folha de pagamento;211917;Folha de pagamento - #1818
21/01/2024 21:33;Folha de pagamento;297202;Folha de pagamento - #9791
22/01/2024 18:34;Folha de pagamento;222791;Folha de pagamento - #6268
23/01/2024 15:07;Energia;372925;Energia - #9770
25/01/2024 02:34;Fretes;409271;Fretes - #1054
25/01/2024 15:30;Expedição;279578;Expedição - #7617
26/01/2024 06:48;Fretes;338477;Fretes - #3841
26/01/2024 23:02;Aluguel;283278;Aluguel - #2936
27/01/2024 03:29;Compras de equipamentos;297293;Compras de equipamentos - #3796
27/01/2024 14:01;Alimentação;23539;Alimentação - #6558
29/01/2024 20:28;Internet;253899;Internet - #4104
31/01/2024 20:05;Aluguel;207432;Aluguel - #9759
02/02/2024 16:58;Serviços de terceiros;296838;Serviços de terceiros - #6963
03/02/2024 00:55;Folha de pagamento;454972;Folha de pagamento - #4806
03/02/2024 12:57;Fretes;425754;Fretes - #6454
04/02/2024 12:23;Compras de equipamentos;377561;Compras de equipamentos - #1669
05/02/2024 15:09;Folha de pagamento;362085;Folha de pagamento - #4346
06/02/2024 19:59;Contabilidade;496152;Contabilidade - #9770
06/02/2024 20:35;Energia;47755;Energia - #2097
06/02/2024 22:44;Folha de pagamento;234552;Folha de pagamento - #3514
07/02/2024 21:05;Vale Transporte;271024;Vale Transporte - #6500
10/02/2024 01:09;Internet;42632;Internet - #5659
10/02/2024 02:06;Compras de equipamentos;202829;Compras de equipamentos - #5521
10/02/2024 05:50;Compras de equipamentos;196044;Compras de equipamentos - #4715
10/02/2024 13:48;Alimentação;427727;Alimentação - #9887
12/02/2024 21:44;Contabilidade;342728;Contabilidade - #2075
14/02/2024 08:03;Segurança e Monitoramento;193692;Segurança e Monitoramento - #7108
15/02/2024 04:55;Materiais de Limpeza;459997;Materiais de Limpeza - #7641
15/02/2024 14:19;Fretes;370845;Fretes - #3161
15/02/2024 18:47;Folha de pagamento;381439;Folha de pagamento - #1399
16/02/2024 11:26;Materiais de Escritório;447522;Materiais de Escritório - #1351
16/02/2024 16:33;Folha de pagamento;505835;Folha de pagamento - #3010
17/02/2024 20:21;Fretes;336899;Fretes - #6616
18/02/2024 21:52;Contabilidade;20489;Contabilidade - #5788
21/02/2024 00:18;Alimentação;345487;Alimentação - #9870
21/02/2024 02:01;Folha de pagamento;510791;Folha de pagamento - #5994
21/02/2024 15:47;Alimentação;239754;Alimentação - #4437
25/02/2024 06:08;Vale Transporte;38150;Vale Transporte - #4909
25/02/2024 07:20;Serviços de terceiros;375715;Serviços de terceiros - #5380
26/02/2024 10:31;Embalagem;269058;Embalagem - #9686
28/02/2024 11:40;Folha de pagamento;281433;Folha de pagamento - #1022
29/02/2024 14:05;Folha de pagamento;438107;Folha de pagamento - #7400
02/03/2024 21:32;Folha de pagamento;156079;Folha de pagamento - #1971
03/03/2024 03:52;Segurança e Monitoramento;251899;Segurança e Monitoramento - #1229
05/03/2024 16:14;Folha de pagamento;251079;Folha de pagamento - #4087
06/03/2024 18:03;Fretes;335833;Fretes - #6237
07/03/2024 04:05;Folha de pagamento;205354;Folha de pagamento - #2830
07/03/2024 05:42;Embalagem;272858;Embalagem - #1479
10/03/2024 00:47;Folha de pagamento;197754;Folha de pagamento - #2943
14/03/2024 20:58;Folha de pagamento;271385;Folha de pagamento - #1798
15/03/2024 19:33;Folha de pagamento;301481;Folha de pagamento - #6604
16/03/2024 11:19;Materiais de Escritório;255608;Materiais de Escritório - #6940
16/03/2024 11:44;Fretes;26044;Fretes - #4033
17/03/2024 20:59;Folha de pagamento;248952;Folha de pagamento - #9419
18/03/2024 19:44;Companhia de mídia;293515;Companhia de mídia - #9612
21/03/2024 05:48;Folha de pagamento;146742;Folha de pagamento - #3738
23/03/2024 04:22;Contabilidade;211604;Contabilidade - #1866
23/03/2024 06:18;Alimentação;30298;Alimentação - #9800
23/03/2024 17:44;Fretes;349434;Fretes - #2867
23/03/2024 22:23;Folha de pagamento;201951;Folha de pagamento - #9755
24/03/2024 03:59;Aluguel;168453;Aluguel - #9260
25/03/2024 03:50;Expedição;276485;Expedição - #4365
25/03/2024 15:26;Folha de pagamento;335753;Folha de pagamento - #3671
25/03/2024 15:48;Aluguel;37323;Aluguel - #1696
27/03/2024 04:00;Embalagem;364262;Embalagem - #9489
28/03/2024 10:52;Água;141031;Água - #5932
28/03/2024 16:49;Folha de pagamento;287471;Folha de pagamento - #4962
28/03/2024 22:09;Folha de pagamento;168399;Folha de pagamento - #4712
28/03/2024 23:17;Aluguel;343736;Aluguel - #6698
30/03/2024 02:07;Sistemas;238114;Sistemas - #3150
30/03/2024 08:02;Contabilidade;314994;Contabilidade - #5942
31/03/2024 03:11;Sistemas;275124;Sistemas - #6813
01/04/2024 20:45;Folha de pagamento;451171;Folha de pagamento - #4056
02/04/2024 02:20;Serviços de terceiros;273761;Serviços de terceiros - #5882
03/04/2024 20:52;Folha de pagamento;449194;Folha de pagamento - #9268
04/04/2024 10:10;Fretes;31096;Fretes - #9821
04/04/2024 22:43;Companhia de mídia;367556;Companhia de mídia - #6504
05/04/2024 06:01;Folha de pagamento;426453;Folha de pagamento - #6087
