Data,Tipo de Despesa,Valor,Descrição
01/07/2025  08:51:43,Folha de pagamento,1660.35,Folha de pagamento - #5495
02/07/2025  17:45:14,Embalagem,3798.13,Embalagem - #1996
02/07/2025  19:15:22,Alimentação,1615.91,Alimentação - #2788
03/07/2025  08:57:39,Vale Transporte,2272.49,Vale Transporte - #6145
06/07/2025  21:32:55,Embalagem,1722.64,Embalagem - #8214
07/07/2025  10:32:45,Folha de pagamento,3291.12,Folha de pagamento - #9326
08/07/2025  17:18:21,Aluguel,2180.6,Aluguel - #7465
09/07/2025  08:01:43,Manutenção predial,2569.22,Manutenção predial - #6789
09/07/2025  11:17:42,Aluguel,2716.33,Aluguel - #5104
10/07/2025  19:01:10,Contabilidade,3289.87,Contabilidade - #7034
11/07/2025  08:54:11,Vale Transporte,4055.25,Vale Transporte - #8271
11/07/2025  23:53:39,Serviços de terceiros,2362.94,Serviços de terceiros - #8111
12/07/2025  10:26:57,Embalagem,2557.18,Embalagem - #7139
14/07/2025  09:09:01,Aluguel,2152.77,Aluguel - #6350
15/07/2025  00:29:02,Contabilidade,1622.29,Contabilidade - #6877
15/07/2025  03:32:04,Aluguel,2565.7,Aluguel - #4882
15/07/2025  05:16:49,Manutenção predial,3102.69,Manutenção predial - #5524
16/07/2025  04:14:40,Folha de pagamento,2351.12,Folha de pagamento - #3858
18/07/2025  12:46:59,Companhia de mídia,1887.21,Companhia de mídia - #5709
19/07/2025  11:53:52,Folha de pagamento,2726.11,Folha de pagamento - #7815
20/07/2025  20:03:14,Folha de pagamento,4086.72,Folha de pagamento - #2875
23/07/2025  11:13:24,Companhia de mídia,1648.45,Companhia de mídia - #1534
26/07/2025  19:00:07,Serviços de terceiros,3562.13,Serviços de terceiros - #6028
26/07/2025  23:59:47,Fretes,3010.58,Fretes - #1935
28/07/2025  17:13:26,Internet,3750.48,Internet - #1959
30/07/2025  00:58:38,Serviços de terceiros,3763.8,Serviços de terceiros - #6508
30/07/2025  04:58:37,Aluguel,2957.12,Aluguel - #1418
30/07/2025  08:51:48,Materiais de Escritório,2927.1,Materiais de Escritório - #4547
31/07/2025  12:29:47,Folha de pagamento,3624.14,Folha de pagamento - #4903
31/07/2025  17:29:27,Fretes,3459.56,Fretes - #9501
