Data;Tipo de Despesa;Valor;Descrição
01/08/2024 03:47;Energia;126449;Energia - pagamento referente a Aug 2024
01/08/2024 10:24;Serviços de terceiros;15108;Serviços de terceiros - pagamento referente a Aug 2024
01/08/2024 17:20;Fretes;61548;Fretes - pagamento referente a Aug 2024
02/08/2024 05:35;Vale Transporte;79762;Vale Transporte - pagamento referente a Aug 2024
03/08/2024 11:12;Segurança e Monitoramento;150332;Segurança e Monitoramento - pagamento referente a Aug 2024
04/08/2024 04:25;Manutenção predial;16433;Manutenção predial - pagamento referente a Aug 2024
04/08/2024 22:43;Embalagem;50;Embalagem - pagamento referente a Aug 2024
04/08/2024 23:59;Internet;136977;Internet - pagamento referente a Aug 2024
05/08/2024 09:45;Devoluções e ressarcimento;41692;Devoluções e ressarcimento - pagamento referente a Aug 2024
05/08/2024 14:06;Água;21914;Água - pagamento referente a Aug 2024
07/08/2024 09:42;Devoluções e ressarcimento;50;Devoluções e ressarcimento - pagamento referente a Aug 2024
08/08/2024 07:15;Vale Transporte;290084;Vale Transporte - pagamento referente a Aug 2024
09/08/2024 00:44;Manutenção predial;13656;Manutenção predial - pagamento referente a Aug 2024
11/08/2024 12:06;Expedição;39428;Expedição - pagamento referente a Aug 2024
11/08/2024 18:06;Devoluções e ressarcimento;64361;Devoluções e ressarcimento - pagamento referente a Aug 2024
12/08/2024 13:22;Manutenção de equipamento;29268;Manutenção de equipamento - pagamento referente a Aug 2024
12/08/2024 23:37;Materiais de Limpeza;2076;Materiais de Limpeza - pagamento referente a Aug 2024
15/08/2024 16:42;Energia;55915;Energia - pagamento referente a Aug 2024
16/08/2024 15:14;Contabilidade;365927;Contabilidade - pagamento referente a Aug 2024
16/08/2024 15:35;Internet;224644;Internet - pagamento referente a Aug 2024
16/08/2024 21:01;Serviços de terceiros;50;Serviços de terceiros - pagamento referente a Aug 2024
17/08/2024 01:25;Devoluções e ressarcimento;20209;Devoluções e ressarcimento - pagamento referente a Aug 2024
17/08/2024 08:34;Materiais de Escritório;42417;Materiais de Escritório - pagamento referente a Aug 2024
18/08/2024 00:48;Companhia de mídia;18367;Companhia de mídia - pagamento referente a Aug 2024
19/08/2024 01:08;Expedição;45539;Expedição - pagamento referente a Aug 2024
19/08/2024 02:58;Energia;195889;Energia - pagamento referente a Aug 2024
19/08/2024 08:48;Materiais de Limpeza;50;Materiais de Limpeza - pagamento referente a Aug 2024
19/08/2024 12:39;Expedição;36728;Expedição - pagamento referente a Aug 2024
20/08/2024 12:07;Companhia de mídia;25796;Companhia de mídia - pagamento referente a Aug 2024
20/08/2024 12:31;Água;114181;Água - pagamento referente a Aug 2024
20/08/2024 19:06;Energia;288077;Energia - pagamento referente a Aug 2024
20/08/2024 21:20;Vale Transporte;17712;Vale Transporte - pagamento referente a Aug 2024
22/08/2024 13:36;Companhia de mídia;7357;Companhia de mídia - pagamento referente a Aug 2024
22/08/2024 15:43;Serviços de terceiros;42521;Serviços de terceiros - pagamento referente a Aug 2024
22/08/2024 16:49;Fretes;78959;Fretes - pagamento referente a Aug 2024
22/08/2024 17:43;Manutenção predial;3245;Manutenção predial - pagamento referente a Aug 2024
24/08/2024 15:17;Manutenção predial;18198;Manutenção predial - pagamento referente a Aug 2024
25/08/2024 03:36;Devoluções e ressarcimento;57145;Devoluções e ressarcimento - pagamento referente a Aug 2024
25/08/2024 09:20;Aluguel;172545;Aluguel - pagamento referente a Aug 2024
28/08/2024 09:07;Internet;58157;Internet - pagamento referente a Aug 2024
28/08/2024 12:28;Folha de pagamento;411547;Folha de pagamento - pagamento referente a Aug 2024
29/08/2024 03:24;Embalagem;27351;Embalagem - pagamento referente a Aug 2024
29/08/2024 22:10;Companhia de mídia;36343;Companhia de mídia - pagamento referente a Aug 2024
31/08/2024 12:22;Manutenção de equipamento;48698;Manutenção de equipamento - pagamento referente a Aug 2024
31/08/2024 21:23;Aluguel;251044;Aluguel - pagamento referente a Aug 2024
