Data,Tipo de Despesa,Valor,Descrição
16/08/2025  20:06:28,Embalagem,147.62,Embalagem - pagamento referente a Aug 2025
14/09/2024  10:45:30,Sistemas,1609.92,Sistemas - pagamento referente a Sep 2024
02/11/2024  20:00:44,Internet,1429.72,Internet - pagamento referente a Nov 2024
30/07/2025  18:22:22,Água,3855.46,Água - pagamento referente a Jul 2025
20/11/2024  04:19:20,Eventos,5.0,Eventos - pagamento referente a Nov 2024
06/09/2024  23:55:59,Vale Transporte,2960.97,Vale Transporte - pagamento referente a Sep 2024
21/08/2025  10:26:40,Eventos,263.98,Eventos - pagamento referente a Aug 2025
17/04/2024  23:56:08,Energia,2692.6,Energia - pagamento referente a Apr 2024
23/05/2025  09:43:22,Manutenção de equipamento,517.52,Manutenção de equipamento - pagamento referente a May 2025
28/08/2025  00:08:46,Alimentação,2118.93,Alimentação - pagamento referente a Aug 2025
11/09/2024  09:41:03,Energia,2231.82,Energia - pagamento referente a Sep 2024
13/10/2024  16:08:46,Alimentação,3084.51,Alimentação - pagamento referente a Oct 2024
16/01/2025  18:10:23,Internet,3240.4,Internet - pagamento referente a Jan 2025
19/06/2024  17:50:47,Folha de pagamento,2760.34,Folha de pagamento - pagamento referente a Jun 2024
19/01/2024  19:02:39,Energia,50.0,Energia - pagamento referente a Jan 2024
24/11/2024  12:20:23,Sistemas,1807.74,Sistemas - pagamento referente a Nov 2024
14/06/2024  18:25:33,Energia,2398.4,Energia - pagamento referente a Jun 2024
19/12/2024  03:51:55,Materiais de Escritório,545.67,Materiais de Escritório - pagamento referente a Dec 2024
31/12/2024  17:32:41,Devoluções e ressarcimento,563.41,Devoluções e ressarcimento - pagamento referente a Dec 2024
03/05/2024  21:13:41,Materiais de Limpeza,249.45,Materiais de Limpeza - pagamento referente a May 2024
14/02/2024  18:38:41,Embalagem,72.65,Embalagem - pagamento referente a Feb 2024
06/12/2024  10:45:18,Vale Transporte,1550.03,Vale Transporte - pagamento referente a Dec 2024
30/12/2024  01:17:55,Materiais de Limpeza,455.45,Materiais de Limpeza - pagamento referente a Dec 2024
11/09/2024  15:22:35,Água,2461.66,Água - pagamento referente a Sep 2024
18/02/2024  04:12:26,Manutenção de equipamento,7.83,Manutenção de equipamento - pagamento referente a Feb 2024
21/03/2025  07:43:13,Água,2021.51,Água - pagamento referente a Mar 2025
19/01/2024  15:15:50,Devoluções e ressarcimento,452.92,Devoluções e ressarcimento - pagamento referente a Jan 2024
09/01/2024  14:15:55,Energia,1616.66,Energia - pagamento referente a Jan 2024
02/02/2025  00:09:37,Contabilidade,2597.0,Contabilidade - pagamento referente a Feb 2025
13/02/2024  21:47:57,Internet,2914.26,Internet - pagamento referente a Feb 2024
14/06/2025  08:53:23,Contabilidade,1225.32,Contabilidade - pagamento referente a Jun 2025
29/09/2024  01:00:19,Manutenção predial,197.98,Manutenção predial - pagamento referente a Sep 2024
19/10/2024  01:35:29,Manutenção de equipamento,419.74,Manutenção de equipamento - pagamento referente a Oct 2024
04/08/2025  11:55:43,Eventos,432.42,Eventos - pagamento referente a Aug 2025
21/07/2025  18:16:16,Materiais de Escritório,382.72,Materiais de Escritório - pagamento referente a Jul 2025
03/07/2024  03:53:57,Devoluções e ressarcimento,675.59,Devoluções e ressarcimento - pagamento referente a Jul 2024
14/09/2024  16:49:39,Devoluções e ressarcimento,203.86,Devoluções e ressarcimento - pagamento referente a Sep 2024
05/02/2024  00:02:15,Devoluções e ressarcimento,158.43,Devoluções e ressarcimento - pagamento referente a Feb 2024
18/07/2024  16:50:32,Materiais de Escritório,396.02,Materiais de Escritório - pagamento referente a Jul 2024
22/06/2025  02:16:06,Segurança e Monitoramento,2143.92,Segurança e Monitoramento - pagamento referente a Jun 2025
24/04/2025  16:38:33,Embalagem,5.0,Embalagem - pagamento referente a Apr 2025
26/03/2025  05:04:19,Compras de equipamentos,186.92,Compras de equipamentos - pagamento referente a Mar 2025
20/07/2025  20:33:18,Eventos,5.0,Eventos - pagamento referente a Jul 2025
17/02/2024  15:50:57,Internet,878.52,Internet - pagamento referente a Feb 2024
01/02/2025  10:38:14,Aluguel,2853.34,Aluguel - pagamento referente a Feb 2025
26/03/2025  22:39:37,Compras de equipamentos,442.44,Compras de equipamentos - pagamento referente a Mar 2025
04/08/2024  01:18:24,Eventos,312.13,Eventos - pagamento referente a Aug 2024
22/04/2025  20:10:21,Expedição,492.92,Expedição - pagamento referente a Apr 2025
17/02/2025  10:24:17,Internet,2405.82,Internet - pagamento referente a Feb 2025
27/04/2024  18:37:42,Devoluções e ressarcimento,181.26,Devoluções e ressarcimento - pagamento referente a Apr 2024
28/08/2025  15:29:55,Materiais de Escritório,537.39,Materiais de Escritório - pagamento referente a Aug 2025
23/05/2025  09:13:48,Materiais de Escritório,459.68,Materiais de Escritório - pagamento referente a May 2025
07/05/2025  08:48:50,Internet,2884.42,Internet - pagamento referente a May 2025
06/03/2024  23:33:41,Água,2221.35,Água - pagamento referente a Mar 2024
23/04/2025  15:51:26,Materiais de Limpeza,209.39,Materiais de Limpeza - pagamento referente a Apr 2025
15/10/2024  04:32:26,Fretes,180.59,Fretes - pagamento referente a Oct 2024
19/12/2024  23:49:49,Devoluções e ressarcimento,85.41,Devoluções e ressarcimento - pagamento referente a Dec 2024
04/09/2024  19:47:37,Alimentação,2203.54,Alimentação - pagamento referente a Sep 2024
01/08/2024  11:35:36,Expedição,579.89,Expedição - pagamento referente a Aug 2024
02/03/2024  17:18:44,Contabilidade,2046.57,Contabilidade - pagamento referente a Mar 2024
17/09/2024  06:35:20,Manutenção de equipamento,155.78,Manutenção de equipamento - pagamento referente a Sep 2024
31/03/2024  09:06:37,Aluguel,2770.7,Aluguel - pagamento referente a Mar 2024
21/06/2025  23:39:04,Manutenção predial,5.0,Manutenção predial - pagamento referente a Jun 2025
02/01/2024  23:20:03,Folha de pagamento,1483.9,Folha de pagamento - pagamento referente a Jan 2024
18/12/2024  16:07:36,Sistemas,2560.25,Sistemas - pagamento referente a Dec 2024
03/05/2024  04:17:39,Materiais de Limpeza,497.92,Materiais de Limpeza - pagamento referente a May 2024
03/04/2025  16:04:46,Sistemas,1559.76,Sistemas - pagamento referente a Apr 2025
26/03/2025  13:07:26,Contabilidade,2358.17,Contabilidade - pagamento referente a Mar 2025
05/07/2024  13:05:58,Alimentação,3404.27,Alimentação - pagamento referente a Jul 2024
26/10/2024  16:20:44,Companhia de mídia,417.87,Companhia de mídia - pagamento referente a Oct 2024
04/07/2025  06:32:25,Embalagem,123.75,Embalagem - pagamento referente a Jul 2025
07/09/2024  06:52:34,Água,1875.46,Água - pagamento referente a Sep 2024
