Data,Tipo de Despesa,Valor,Descrição
16/04/2025  02:11:16,Serviços de terceiros,5.0,Serviços de terceiros - pagamento referente a Apr 2025
08/09/2025  10:55:43,Manutenção predial,171.3,Manutenção predial - pagamento referente a Sep 2025
28/08/2024  02:04:04,Compras de equipamentos,5.0,Compras de equipamentos - pagamento referente a Aug 2024
25/08/2025  17:55:43,Internet,1949.89,Internet - pagamento referente a Aug 2025
13/05/2024  04:40:36,Materiais de Escritório,5.0,Materiais de Escritório - pagamento referente a May 2024
17/06/2025  00:31:20,Internet,2310.65,Internet - pagamento referente a Jun 2025
25/09/2025  12:02:19,Internet,1924.14,Internet - pagamento referente a Sep 2025
26/03/2024  12:17:44,Internet,2621.93,Internet - pagamento referente a Mar 2024
12/07/2024  06:18:36,Companhia de mídia,777.85,Companhia de mídia - pagamento referente a Jul 2024
17/03/2025  09:33:06,Materiais de Limpeza,548.9,Materiais de Limpeza - pagamento referente a Mar 2025
02/04/2025  22:48:22,Manutenção predial,353.02,Manutenção predial - pagamento referente a Apr 2025
21/04/2024  12:27:25,Sistemas,2359.37,Sistemas - pagamento referente a Apr 2024
23/08/2024  12:45:08,Devoluções e ressarcimento,659.08,Devoluções e ressarcimento - pagamento referente a Aug 2024
09/06/2024  02:15:49,Materiais de Escritório,378.3,Materiais de Escritório - pagamento referente a Jun 2024
03/01/2024  13:21:48,Vale Transporte,3181.55,Vale Transporte - pagamento referente a Jan 2024
21/11/2024  01:38:07,Expedição,159.85,Expedição - pagamento referente a Nov 2024
08/07/2024  09:31:21,Folha de pagamento,1159.89,Folha de pagamento - pagamento referente a Jul 2024
26/07/2024  06:00:31,Aluguel,1143.32,Aluguel - pagamento referente a Jul 2024
05/08/2025  10:47:40,Expedição,152.53,Expedição - pagamento referente a Aug 2025
01/06/2025  04:51:48,Sistemas,2412.24,Sistemas - pagamento referente a Jun 2025
08/01/2025  14:23:21,Segurança e Monitoramento,2554.28,Segurança e Monitoramento - pagamento referente a Jan 2025
27/02/2024  06:25:06,Devoluções e ressarcimento,228.14,Devoluções e ressarcimento - pagamento referente a Feb 2024
26/06/2024  03:35:24,Manutenção de equipamento,40.36,Manutenção de equipamento - pagamento referente a Jun 2024
18/01/2025  05:51:32,Energia,3518.21,Energia - pagamento referente a Jan 2025
03/07/2024  23:58:22,Fretes,716.81,Fretes - pagamento referente a Jul 2024
17/02/2025  18:56:17,Contabilidade,2142.96,Contabilidade - pagamento referente a Feb 2025
30/03/2024  17:05:22,Companhia de mídia,527.84,Companhia de mídia - pagamento referente a Mar 2024
06/02/2025  11:56:59,Sistemas,1417.54,Sistemas - pagamento referente a Feb 2025
10/07/2025  10:46:23,Contabilidade,2288.52,Contabilidade - pagamento referente a Jul 2025
06/10/2024  08:08:36,Embalagem,576.48,Embalagem - pagamento referente a Oct 2024
12/05/2025  21:44:02,Segurança e Monitoramento,2783.11,Segurança e Monitoramento - pagamento referente a May 2025
13/10/2024  21:37:57,Folha de pagamento,1676.48,Folha de pagamento - pagamento referente a Oct 2024
10/04/2024  05:36:27,Manutenção de equipamento,308.61,Manutenção de equipamento - pagamento referente a Apr 2024
01/04/2025  17:28:35,Materiais de Limpeza,78.69,Materiais de Limpeza - pagamento referente a Apr 2025
29/02/2024  13:02:00,Aluguel,1975.15,Aluguel - pagamento referente a Feb 2024
22/06/2025  02:21:35,Folha de pagamento,1381.95,Folha de pagamento - pagamento referente a Jun 2025
23/01/2025  00:08:49,Energia,2027.22,Energia - pagamento referente a Jan 2025
15/03/2025  04:04:56,Embalagem,5.0,Embalagem - pagamento referente a Mar 2025
26/02/2024  05:11:19,Aluguel,1544.13,Aluguel - pagamento referente a Feb 2024
