Data,Tipo de Despesa,Valor,Descrição
20/04/2025  02:03:08,Expedição,737.4,Expedição - pagamento referente a Apr 2025
13/09/2025  23:01:44,Companhia de mídia,248.54,Companhia de mídia - pagamento referente a Sep 2025
31/08/2024  12:22:30,Manutenção de equipamento,486.98,Manutenção de equipamento - pagamento referente a Aug 2024
20/08/2025  06:04:09,Energia,1406.01,Energia - pagamento referente a Aug 2025
01/05/2024  15:58:58,Eventos,244.13,Eventos - pagamento referente a May 2024
08/06/2025  12:31:19,Eventos,514.61,Eventos - pagamento referente a Jun 2025
24/09/2025  04:07:44,Contabilidade,1842.83,Contabilidade - pagamento referente a Sep 2025
01/03/2024  18:48:19,Materiais de Limpeza,5.0,Materiais de Limpeza - pagamento referente a Mar 2024
10/07/2024  09:33:40,Energia,1115.44,Energia - pagamento referente a Jul 2024
21/02/2025  07:58:02,Eventos,226.51,Eventos - pagamento referente a Feb 2025
06/04/2025  08:06:38,Embalagem,45.08,Embalagem - pagamento referente a Apr 2025
26/04/2024  05:16:50,Alimentação,1706.54,Alimentação - pagamento referente a Apr 2024
04/07/2024  17:37:22,Contabilidade,3116.55,Contabilidade - pagamento referente a Jul 2024
15/06/2024  19:02:23,Expedição,100.99,Expedição - pagamento referente a Jun 2024
11/01/2024  15:25:47,Internet,1701.73,Internet - pagamento referente a Jan 2024
16/10/2024  14:40:17,Eventos,366.34,Eventos - pagamento referente a Oct 2024
24/07/2024  14:14:01,Aluguel,1799.96,Aluguel - pagamento referente a Jul 2024
14/07/2024  20:58:22,Folha de pagamento,1671.35,Folha de pagamento - pagamento referente a Jul 2024
30/08/2025  04:17:55,Folha de pagamento,3250.73,Folha de pagamento - pagamento referente a Aug 2025
13/07/2025  13:47:21,Folha de pagamento,2712.2,Folha de pagamento - pagamento referente a Jul 2025
06/12/2024  00:45:03,Vale Transporte,1855.02,Vale Transporte - pagamento referente a Dec 2024
02/02/2024  05:09:03,Materiais de Limpeza,715.31,Materiais de Limpeza - pagamento referente a Feb 2024
17/06/2024  01:18:27,Água,1871.89,Água - pagamento referente a Jun 2024
31/01/2025  11:02:17,Devoluções e ressarcimento,349.74,Devoluções e ressarcimento - pagamento referente a Jan 2025
20/07/2024  02:09:13,Vale Transporte,2341.76,Vale Transporte - pagamento referente a Jul 2024
10/02/2025  14:12:40,Manutenção predial,145.69,Manutenção predial - pagamento referente a Feb 2025
20/03/2024  18:08:32,Sistemas,1855.62,Sistemas - pagamento referente a Mar 2024
15/01/2025  10:00:25,Segurança e Monitoramento,2543.5,Segurança e Monitoramento - pagamento referente a Jan 2025
06/07/2025  18:03:05,Vale Transporte,1311.13,Vale Transporte - pagamento referente a Jul 2025
28/09/2024  14:24:00,Serviços de terceiros,131.21,Serviços de terceiros - pagamento referente a Sep 2024
09/05/2025  22:19:32,Materiais de Escritório,108.34,Materiais de Escritório - pagamento referente a May 2025
25/09/2024  04:54:38,Manutenção de equipamento,251.54,Manutenção de equipamento - pagamento referente a Sep 2024
11/04/2024  02:09:38,Contabilidade,1262.07,Contabilidade - pagamento referente a Apr 2024
02/04/2025  13:32:06,Embalagem,592.4,Embalagem - pagamento referente a Apr 2025
05/01/2024  13:19:58,Eventos,162.04,Eventos - pagamento referente a Jan 2024
13/06/2025  08:40:41,Fretes,5.0,Fretes - pagamento referente a Jun 2025
13/12/2024  08:05:07,Sistemas,1802.38,Sistemas - pagamento referente a Dec 2024
21/02/2025  08:55:08,Compras de equipamentos,210.74,Compras de equipamentos - pagamento referente a Feb 2025
06/02/2024  05:43:18,Eventos,50.4,Eventos - pagamento referente a Feb 2024
