Data,Categoria,Receita,Canal de Venda
10/09/2025  10:10:40,Beleza,366.38,Marketplace
14/04/2024  14:44:38,Calçados,352.64,Loja Virtual
19/06/2024  17:35:21,Beleza,266.07,Marketplace
21/04/2024  06:16:42,Produtos Eletrônicos,291.34,Marketplace
02/11/2024  16:02:53,Esportes,163.05,Marketplace
21/02/2025  20:05:37,Casa & Cozinha,235.81,Loja Virtual
01/07/2025  06:33:55,Casa & Cozinha,71.41,Atacado
17/07/2025  20:17:13,Acessórios,66.34,Marketplace
02/04/2024  07:18:45,Roupas,304.22,Atacado
27/02/2025  02:01:04,Acessórios,197.37,Atacado
31/07/2024  15:57:53,Acessórios,253.17,Loja Virtual
30/01/2024  12:05:35,Roupas,125.85,Atacado
28/04/2024  14:04:43,Acessórios,149.56,Loja Virtual
03/09/2024  12:32:28,Esportes,320.22,Atacado
18/12/2024  16:59:58,Esportes,376.53,Atacado
26/04/2024  20:37:42,Esportes,321.44,Marketplace
24/08/2025  08:51:15,Casa & Cozinha,330.84,Loja Virtual
25/01/2024  05:44:27,Roupas,452.67,Loja Virtual
28/02/2025  10:59:51,Calçados,487.34,Atacado
18/10/2024  04:10:20,Esportes,332.85,Atacado
18/11/2024  20:22:19,Roupas,211.73,Loja Virtual
03/06/2024  01:09:10,Esportes,174.41,Atacado
18/05/2024  03:29:23,Beleza,105.7,Atacado
22/05/2024  07:31:58,Casa & Cozinha,430.6,Marketplace
25/03/2024  13:16:53,Produtos Eletrônicos,498.52,Loja Virtual
03/03/2024  20:27:08,Esportes,237.16,Loja Virtual
03/03/2025  21:22:51,Casa & Cozinha,5.0,Loja Virtual
30/04/2024  08:52:09,Produtos Eletrônicos,162.11,Marketplace
08/09/2025  05:45:47,Beleza,5.0,Loja Virtual
28/06/2024  17:23:07,Esportes,118.89,Loja Virtual
31/08/2025  01:54:30,Roupas,153.56,Atacado
18/02/2024  06:32:16,Acessórios,164.85,Loja Virtual
12/08/2024  12:36:02,Casa & Cozinha,298.27,Marketplace
05/04/2025  23:01:41,Calçados,311.72,Loja Virtual
05/03/2024  07:08:30,Beleza,44.05,Marketplace
13/06/2024  13:29:21,Acessórios,436.06,Loja Virtual
19/04/2025  22:36:52,Acessórios,343.23,Loja Virtual
01/06/2025  03:42:22,Calçados,202.49,Marketplace
03/01/2024  18:27:02,Produtos Eletrônicos,303.63,Marketplace
02/04/2024  19:47:06,Esportes,816.44,Marketplace
15/12/2024  06:33:30,Roupas,255.61,Loja Virtual
