Data,Categoria,Receita,Canal de Venda
04/02/2025  15:47:38,Roupas,301.73,Parcerias
09/03/2024  13:07:07,Calçados,425.21,Marketplace
14/02/2025  08:14:59,Acessórios,341.56,Loja Virtual
11/04/2024  14:09:00,Beleza,264.41,Loja Virtual
23/10/2024  08:17:40,Produtos Eletrônicos,54.06,Parcerias
02/03/2024  17:58:33,Produtos Eletrônicos,5.0,Loja Virtual
08/08/2024  20:22:30,Casa & Cozinha,377.73,Parcerias
15/08/2025  05:07:48,Esportes,403.18,Loja Virtual
06/09/2025  21:04:04,Roupas,222.54,Loja Virtual
09/08/2025  10:12:20,Roupas,291.27,Loja Virtual
26/01/2024  11:41:27,Acessórios,286.29,Loja Virtual
04/08/2024  05:29:20,Beleza,487.35,Marketplace
18/04/2025  17:36:12,Calçados,5.0,Marketplace
01/03/2024  09:01:41,Esportes,129.2,Parcerias
13/08/2025  06:09:34,Produtos Eletrônicos,342.05,Parcerias
15/10/2024  20:45:03,Roupas,144.82,Marketplace
13/07/2025  20:09:25,Roupas,5.0,Marketplace
12/04/2024  06:47:05,Acessórios,5.0,Loja Virtual
08/09/2025  18:22:47,Calçados,575.93,Parcerias
31/03/2024  12:06:37,Esportes,214.89,Parcerias
02/06/2024  12:49:24,Beleza,348.24,Marketplace
18/03/2025  14:07:47,Roupas,356.67,Parcerias
13/05/2024  01:59:07,Roupas,138.89,Loja Virtual
12/02/2025  22:55:36,Acessórios,334.31,Marketplace
19/08/2025  11:32:57,Esportes,286.25,Marketplace
07/01/2024  12:39:03,Acessórios,179.62,Loja Virtual
12/05/2024  16:54:55,Casa & Cozinha,5.0,Marketplace
07/04/2025  18:19:58,Casa & Cozinha,247.78,Parcerias
07/01/2024  17:12:40,Produtos Eletrônicos,64.66,Marketplace
24/06/2024  17:36:02,Esportes,513.66,Marketplace
02/08/2024  20:40:00,Acessórios,215.44,Marketplace
18/07/2024  23:07:54,Casa & Cozinha,168.06,Marketplace
13/12/2024  18:41:26,Calçados,259.04,Loja Virtual
14/11/2024  04:18:19,Calçados,354.45,Parcerias
16/09/2025  03:20:46,Esportes,561.76,Loja Virtual
25/09/2025  03:14:40,Beleza,175.46,Loja Virtual
15/07/2025  00:47:43,Produtos Eletrônicos,288.32,Loja Virtual
07/03/2024  01:51:31,Calçados,441.06,Marketplace
25/12/2024  20:20:32,Casa & Cozinha,240.38,Parcerias
29/06/2025  05:42:24,Casa & Cozinha,515.09,Loja Virtual
31/07/2025  00:55:08,Esportes,298.58,Loja Virtual
14/10/2024  21:42:03,Produtos Eletrônicos,10.94,Marketplace
16/09/2024  04:47:55,Casa & Cozinha,177.71,Loja Virtual
11/08/2024  06:53:35,Beleza,461.75,Parcerias
21/07/2024  15:38:14,Calçados,5.0,Loja Virtual
24/03/2024  09:17:20,Esportes,449.31,Loja Virtual
16/09/2024  16:35:54,Beleza,249.94,Parcerias
17/07/2024  18:40:35,Beleza,615.92,Loja Virtual
10/12/2024  14:10:59,Esportes,178.67,Marketplace
11/02/2024  21:52:46,Beleza,128.42,Parcerias
09/03/2025  10:51:55,Calçados,493.64,Parcerias
19/08/2025  15:00:22,Beleza,102.39,Marketplace
16/07/2025  12:10:19,Esportes,95.08,Parcerias
03/01/2024  06:38:00,Esportes,167.4,Loja Virtual
05/09/2025  22:57:48,Acessórios,201.46,Parcerias
30/07/2024  07:21:15,Esportes,126.47,Loja Virtual
30/04/2024  21:22:56,Roupas,231.27,Loja Virtual
28/04/2025  08:09:45,Roupas,253.52,Parcerias
12/11/2024  15:42:47,Casa & Cozinha,300.51,Marketplace
13/12/2024  07:54:25,Calçados,213.37,Loja Virtual
16/12/2024  07:24:58,Casa & Cozinha,184.6,Marketplace
17/01/2025  09:03:13,Acessórios,5.0,Marketplace
01/03/2024  14:18:08,Esportes,204.09,Loja Virtual
23/09/2025  19:19:21,Calçados,291.52,Loja Virtual
03/03/2024  18:57:41,Calçados,158.89,Parcerias
31/07/2025  05:13:06,Produtos Eletrônicos,140.36,Loja Virtual
12/06/2025  19:58:20,Casa & Cozinha,232.51,Loja Virtual
13/03/2025  14:13:29,Casa & Cozinha,219.66,Loja Virtual
24/12/2024  13:01:20,Casa & Cozinha,5.0,Marketplace
