Data,Categoria,Receita,Canal de Venda
12/12/2024  21:33:25,Casa & Cozinha,214.21,Distribuidor
22/04/2025  00:43:17,Acessórios,669.1,Loja Física
05/01/2024  09:00:19,Acessórios,373.78,Marketplace
03/07/2024  06:46:56,Calçados,603.77,Distribuidor
07/03/2024  23:02:29,Calçados,211.91,Distribuidor
04/12/2024  01:48:41,Produtos Eletrônicos,281.77,Loja Física
09/09/2025  15:42:23,Roupas,721.31,Distribuidor
09/08/2025  11:17:22,Beleza,322.88,Loja Física
15/05/2024  08:49:27,Beleza,384.15,Distribuidor
23/05/2024  11:31:05,Beleza,423.15,Loja Física
12/01/2024  04:08:16,Roupas,259.89,Distribuidor
29/09/2025  14:52:10,Roupas,382.16,Loja Física
29/03/2024  16:09:12,Roupas,402.92,Loja Física
19/06/2025  11:08:54,Roupas,520.43,Loja Física
16/08/2025  22:50:51,Produtos Eletrônicos,132.77,Distribuidor
21/06/2024  11:18:13,Calçados,615.58,Loja Física
27/01/2024  23:20:38,Acessórios,793.49,Distribuidor
20/06/2024  05:36:35,Esportes,121.81,Marketplace
27/03/2025  11:50:25,Calçados,334.41,Distribuidor
04/05/2024  18:34:59,Roupas,171.52,Loja Física
04/06/2025  09:05:07,Produtos Eletrônicos,229.18,Loja Física
16/09/2025  04:15:03,Casa & Cozinha,673.0,Distribuidor
19/03/2025  17:48:29,Beleza,5.0,Loja Física
08/02/2025  19:50:42,Casa & Cozinha,320.48,Marketplace
18/01/2025  02:50:56,Beleza,269.39,Distribuidor
06/04/2025  00:38:06,Acessórios,24.42,Loja Física
03/04/2025  02:35:42,Acessórios,499.14,Distribuidor
03/07/2025  08:07:34,Produtos Eletrônicos,255.71,Distribuidor
28/06/2025  13:51:14,Acessórios,199.83,Loja Física
05/09/2025  07:49:05,Roupas,88.84,Marketplace
30/09/2025  02:57:02,Casa & Cozinha,357.92,Marketplace
02/03/2024  10:22:35,Esportes,476.84,Distribuidor
08/09/2024  09:29:31,Casa & Cozinha,527.41,Loja Física
05/07/2025  23:39:27,Produtos Eletrônicos,350.71,Distribuidor
24/02/2024  00:48:20,Calçados,590.01,Loja Física
04/03/2024  11:50:02,Esportes,56.2,Marketplace
29/01/2025  22:45:31,Esportes,521.2,Loja Física
13/03/2024  20:34:53,Acessórios,579.54,Distribuidor
19/01/2024  18:09:06,Produtos Eletrônicos,160.06,Loja Física
28/03/2024  16:07:00,Roupas,101.38,Marketplace
27/04/2024  13:09:18,Esportes,638.93,Distribuidor
05/04/2024  02:08:41,Esportes,45.03,Loja Física
14/11/2024  00:07:10,Acessórios,83.85,Distribuidor
