Data;Categoria;Receita;Canal de Venda
05/04/2025 23:01;Calçados;31172;Loja Virtual
19/04/2025 22:36;Acessórios;34323;Loja Virtual
20/04/2025 02:30;Acessórios;9577;Atacado
26/04/2025 15:58;Roupas;36793;Atacado
26/04/2025 19:25;Roupas;9649;Atacado
07/04/2025 04:33;Acessórios;20954;Marketplace
26/04/2025 02:08;Calçados;54276;Atacado
10/04/2025 03:30;Beleza;41078;Loja Virtual
07/04/2025 05:36;Acessórios;1961;Loja Virtual
06/04/2025 02:31;Beleza;28365;Marketplace
02/04/2025 04:08;Roupas;14874;Loja Virtual
16/04/2025 01:55;Casa & Cozinha;23167;Atacado
24/04/2025 22:14;Casa & Cozinha;30163;Atacado
08/04/2025 23:55;Calçados;8973;Loja Virtual
19/04/2025 14:09;Esportes;26787;Atacado
14/04/2025 12:27;Calçados;47641;Marketplace
29/04/2025 10:41;Acessórios;53204;Loja Virtual
24/04/2025 17:48;Acessórios;23162;Atacado
09/04/2025 20:45;Beleza;34794;Loja Virtual
11/04/2025 08:40;Esportes;4239;Loja Virtual
09/04/2025 13:25;Beleza;26296;Marketplace
12/04/2025 08:37;Calçados;47775;Marketplace
02/04/2025 17:12;Roupas;26981;Marketplace
29/04/2025 10:48;Casa & Cozinha;20608;Marketplace
10/04/2025 09:43;Calçados;29161;Marketplace
04/04/2025 21:24;Roupas;12258;Loja Virtual
10/04/2025 05:53;Casa & Cozinha;11436;Marketplace
01/04/2025 21:00;Beleza;21921;Marketplace
11/04/2025 20:03;Calçados;10821;Loja Virtual
