Data;Categoria;Receita;Canal de Venda
01/01/2024 12:16;Assinaturas;254129;Marketplace B
03/01/2024 07:10;Assinaturas;264455;Loja Física MG
03/01/2024 17:13;Marketplace;26920;Marketplace A
05/01/2024 06:18;Vendas Online;30596;Site MG
06/01/2024 08:29;Vendas Online;212172;Loja Física MG
07/01/2024 06:34;Vendas Presencial;210477;Loja Física MG
07/01/2024 12:57;Vendas Presencial;300976;Loja Física MG
09/01/2024 12:08;Marketplace;217524;Loja Física MG
11/01/2024 02:00;Serviços;329763;Site MG
13/01/2024 03:56;Vendas Presencial;247076;Site MG
13/01/2024 23:21;Vendas Online;339475;Marketplace A
14/01/2024 22:46;Serviços;295263;Loja Física MG
17/01/2024 16:10;Serviços;37417;Site MG
20/01/2024 02:26;Serviços;292789;Marketplace B
24/01/2024 10:03;Serviços;342559;Loja Física MG
26/01/2024 17:06;Serviços;205019;Site MG
28/01/2024 05:04;Vendas Online;313311;Marketplace A
28/01/2024 23:03;Vendas Online;200204;Site MG
30/01/2024 08:13;Marketplace;279688;Marketplace A
30/01/2024 11:56;Vendas Presencial;28049;Marketplace B
02/02/2024 08:24;Vendas Presencial;24078;Loja Física MG
03/02/2024 13:26;Serviços;23011;Loja Física MG
04/02/2024 14:08;Assinaturas;264902;Marketplace B
05/02/2024 04:14;Vendas Presencial;227533;Marketplace A
08/02/2024 08:21;Serviços;282505;Site MG
11/02/2024 10:48;Assinaturas;256046;Marketplace B
13/02/2024 10:42;Assinaturas;292382;Marketplace A
13/02/2024 18:36;Vendas Online;296605;Site MG
14/02/2024 01:13;Assinaturas;188667;Loja Física MG
15/02/2024 08:48;Marketplace;310091;Loja Física MG
16/02/2024 00:22;Assinaturas;311163;Loja Física MG
16/02/2024 07:17;Assinaturas;30998;Site MG
18/02/2024 23:47;Serviços;305866;Marketplace A
21/02/2024 07:17;Vendas Online;259048;Marketplace B
21/02/2024 13:08;Assinaturas;278817;Marketplace A
25/02/2024 13:16;Vendas Online;31524;Loja Física MG
25/02/2024 14:39;Serviços;290749;Loja Física MG
27/02/2024 14:58;Serviços;200384;Site MG
27/02/2024 17:28;Vendas Presencial;239278;Loja Física MG
29/02/2024 18:44;Serviços;277454;Loja Física MG
01/03/2024 02:14;Serviços;198312;Site MG
04/03/2024 00:40;Vendas Presencial;279619;Marketplace A
04/03/2024 14:44;Assinaturas;264292;Marketplace B
06/03/2024 18:27;Assinaturas;189982;Site MG
14/03/2024 01:12;Marketplace;212018;Loja Física MG
14/03/2024 03:34;Vendas Presencial;326752;Marketplace B
15/03/2024 02:20;Marketplace;238165;Site MG
15/03/2024 02:43;Marketplace;305429;Marketplace A
16/03/2024 11:26;Marketplace;192734;Site MG
17/03/2024 17:31;Vendas Online;285713;Site MG
18/03/2024 04:59;Assinaturas;280273;Loja Física MG
20/03/2024 23:52;Marketplace;266164;Loja Física MG
21/03/2024 14:48;Vendas Presencial;202202;Marketplace B
22/03/2024 12:52;Serviços;164634;Site MG
25/03/2024 05:30;Assinaturas;272633;Marketplace B
25/03/2024 12:55;Vendas Online;261695;Loja Física MG
25/03/2024 21:52;Serviços;198844;Site MG
27/03/2024 04:04;Vendas Presencial;214336;Marketplace B
28/03/2024 05:21;Assinaturas;17652;Marketplace B
29/03/2024 13:47;Serviços;319783;Marketplace B
01/04/2024 19:56;Marketplace;187979;Marketplace A
02/04/2024 10:15;Serviços;222275;Marketplace A
02/04/2024 12:17;Vendas Online;299942;Loja Física MG
03/04/2024 12:00;Serviços;215035;Site MG
03/04/2024 17:13;Vendas Presencial;185158;Marketplace A
03/04/2024 21:13;Serviços;289991;Site MG
04/04/2024 21:55;Vendas Presencial;326511;Site MG
09/04/2024 04:08;Marketplace;189407;Marketplace A
10/04/2024 15:07;Vendas Presencial;254176;Marketplace A
11/04/2024 04:50;Serviços;325911;Site MG
13/04/2024 14:23;Serviços;317707;Loja Física MG
15/04/2024 11:43;Marketplace;290144;Loja Física MG
19/04/2024 23:46;Assinaturas;303924;Site MG
21/04/2024 02:40;Assinaturas;255597;Marketplace B
21/04/2024 13:07;Vendas Online;327338;Site MG
23/04/2024 11:13;Assinaturas;302964;Marketplace A
27/04/2024 15:39;Marketplace;208702;Site MG
27/04/2024 20:23;Vendas Presencial;195198;Loja Física MG
