Data,Categoria,Receita,Canal de Venda
01/01/2024  12:16:59,Assinaturas,2541.29,Marketplace B
03/01/2024  07:10:26,Assinaturas,2644.55,Loja Física MG
03/01/2024  17:13:32,Marketplace,2692.0,Marketplace A
05/01/2024  06:18:13,Vendas Online,3059.6,Site MG
06/01/2024  08:29:15,Vendas Online,2121.72,Loja Física MG
07/01/2024  06:34:28,Vendas Presencial,2104.77,Loja Física MG
07/01/2024  12:57:03,Vendas Presencial,3009.76,Loja Física MG
09/01/2024  12:08:42,Marketplace,2175.24,Loja Física MG
11/01/2024  02:00:29,Serviços,3297.63,Site MG
13/01/2024  03:56:36,Vendas Presencial,2470.76,Site MG
13/01/2024  23:21:51,Vendas Online,3394.75,Marketplace A
14/01/2024  22:46:50,Serviços,2952.63,Loja Física MG
17/01/2024  16:10:03,Serviços,3741.7,Site MG
20/01/2024  02:26:42,Serviços,2927.89,Marketplace B
24/01/2024  10:03:03,Serviços,3425.59,Loja Física MG
26/01/2024  17:06:03,Serviços,2050.19,Site MG
28/01/2024  05:04:38,Vendas Online,3133.11,Marketplace A
28/01/2024  23:03:43,Vendas Online,2002.04,Site MG
30/01/2024  08:13:42,Marketplace,2796.88,Marketplace A
30/01/2024  11:56:04,Vendas Presencial,2804.9,Marketplace B
