Data;Categoria;Receita;Canal de Venda
24/05/2025 01:34;Produtos Eletrônicos;18794;Loja Virtual
26/05/2025 21:45;Esportes;48638;Parcerias
10/05/2025 10:08;Esportes;45722;Marketplace
26/05/2025 09:49;Beleza;49753;Marketplace
16/05/2025 06:38;Casa & Cozinha;2865;Loja Virtual
31/05/2025 14:59;Casa & Cozinha;11598;Loja Virtual
17/05/2025 01:12;Roupas;32595;Parcerias
30/05/2025 16:36;Beleza;2095;Parcerias
22/05/2025 05:37;Acessórios;24102;Marketplace
26/05/2025 14:07;Casa & Cozinha;48434;Marketplace
10/05/2025 20:27;Calçados;50;Loja Virtual
17/05/2025 12:48;Beleza;14434;Marketplace
11/05/2025 07:23;Acessórios;1477;Loja Virtual
03/05/2025 15:01;Produtos Eletrônicos;5598;Loja Virtual
04/05/2025 16:05;Beleza;34618;Loja Virtual
28/05/2025 13:47;Casa & Cozinha;10804;Marketplace
13/05/2025 06:22;Produtos Eletrônicos;12714;Parcerias
07/05/2025 12:02;Produtos Eletrônicos;34751;Loja Virtual
24/05/2025 18:34;Beleza;5639;Loja Virtual
18/05/2025 15:39;Roupas;17049;Loja Virtual
26/05/2025 09:59;Produtos Eletrônicos;30386;Loja Virtual
