Data;Categoria;Receita;Canal de Venda
01/01/2024 10:59;Serviços;322935;Marketplace C
01/01/2024 14:20;Vendas Online;344395;Site RJ
02/01/2024 02:20;Vendas Online;426774;Marketplace B
02/01/2024 14:18;Vendas Online;36470;Loja Física RJ
06/01/2024 02:34;Vendas Presencial;272525;Marketplace B
07/01/2024 16:52;Assinaturas;412637;Loja Física RJ
09/01/2024 13:21;Marketplace;481541;Site RJ
12/01/2024 23:02;Assinaturas;373738;Marketplace B
15/01/2024 11:03;Serviços;310602;Marketplace C
15/01/2024 22:39;Serviços;331604;Loja Física RJ
17/01/2024 23:05;Marketplace;345936;Loja Física RJ
18/01/2024 08:11;Marketplace;290527;Loja Física RJ
18/01/2024 12:55;Vendas Online;283441;Marketplace B
20/01/2024 14:32;Assinaturas;34091;Marketplace C
20/01/2024 23:40;Vendas Online;407857;Loja Física RJ
21/01/2024 15:27;Marketplace;444893;Marketplace C
22/01/2024 14:00;Assinaturas;320681;Loja Física RJ
25/01/2024 01:19;Marketplace;26918;Site RJ
26/01/2024 00:10;Vendas Presencial;257209;Loja Física RJ
28/01/2024 17:23;Vendas Presencial;290615;Loja Física RJ
01/02/2024 07:56;Serviços;349427;Marketplace C
08/02/2024 15:13;Vendas Online;395935;Marketplace C
09/02/2024 11:46;Serviços;353467;Loja Física RJ
13/02/2024 22:59;Assinaturas;430432;Loja Física RJ
16/02/2024 19:57;Marketplace;394497;Marketplace B
16/02/2024 22:28;Marketplace;318513;Marketplace B
19/02/2024 16:20;Marketplace;369478;Loja Física RJ
20/02/2024 01:48;Vendas Presencial;323349;Marketplace C
21/02/2024 22:04;Assinaturas;245979;Marketplace B
23/02/2024 00:28;Vendas Online;414706;Marketplace C
23/02/2024 09:19;Vendas Presencial;338032;Marketplace C
24/02/2024 05:23;Marketplace;28622;Marketplace B
24/02/2024 22:08;Serviços;409959;Marketplace C
25/02/2024 08:21;Assinaturas;402042;Marketplace C
26/02/2024 03:06;Marketplace;438892;Site RJ
26/02/2024 12:53;Vendas Online;422566;Marketplace C
26/02/2024 14:44;Serviços;386733;Marketplace C
28/02/2024 06:37;Vendas Presencial;433024;Site RJ
28/02/2024 12:16;Vendas Presencial;450088;Site RJ
28/02/2024 15:41;Serviços;457361;Loja Física RJ
02/03/2024 16:55;Marketplace;472994;Loja Física RJ
04/03/2024 01:40;Marketplace;345893;Marketplace C
05/03/2024 03:41;Assinaturas;417458;Loja Física RJ
07/03/2024 21:45;Marketplace;281177;Site RJ
08/03/2024 08:38;Assinaturas;248045;Site RJ
10/03/2024 18:21;Vendas Online;471701;Site RJ
11/03/2024 14:14;Marketplace;260341;Marketplace C
