Data,Categoria,Receita,Canal de Venda
01/11/2024  06:38:45,Vendas Online,5697.13,Site RJ
03/11/2024  22:58:10,Vendas Online,4196.77,Site RJ
05/11/2024  09:09:54,Assinaturas,4028.0,Marketplace C
05/11/2024  17:59:11,Vendas Presencial,5314.4,Site RJ
06/11/2024  01:30:09,Vendas Presencial,4966.06,Marketplace B
06/11/2024  20:38:48,Vendas Online,6249.64,Site RJ
07/11/2024  01:24:23,Vendas Online,6486.07,Marketplace B
09/11/2024  02:33:59,Marketplace,6752.51,Loja Física RJ
11/11/2024  05:49:17,Serviços,5002.57,Site RJ
13/11/2024  04:00:18,Assinaturas,5980.32,Loja Física RJ
15/11/2024  07:29:11,Vendas Online,4805.54,Marketplace B
17/11/2024  02:14:55,Vendas Online,5358.9,Site RJ
17/11/2024  16:57:03,Assinaturas,7535.06,Marketplace B
18/11/2024  15:27:57,Vendas Presencial,5661.52,Marketplace B
19/11/2024  20:50:50,Vendas Presencial,4022.54,Marketplace C
22/11/2024  12:35:34,Assinaturas,6034.59,Loja Física RJ
25/11/2024  03:17:52,Vendas Presencial,5613.61,Site RJ
25/11/2024  14:35:48,Marketplace,5665.74,Marketplace B
28/11/2024  05:14:26,Marketplace,6195.09,Marketplace B
28/11/2024  19:53:23,Serviços,4564.94,Marketplace C
