Data;Categoria;Receita;Canal de Venda
03/01/2024 15:37;Vendas Online;531096;Loja Física SP
04/01/2024 23:03;Serviços;53931;Marketplace A
05/01/2024 06:59;Assinaturas;690582;Marketplace A
06/01/2024 00:31;Vendas Online;499987;Site SP
06/01/2024 05:42;Vendas Online;599248;Site SP
07/01/2024 03:50;Assinaturas;627647;Loja Física SP
09/01/2024 04:07;Assinaturas;477262;Loja Física SP
09/01/2024 06:21;Vendas Online;631195;Site SP
11/01/2024 19:51;Assinaturas;580646;Site SP
13/01/2024 11:08;Vendas Presencial;576173;Marketplace C
14/01/2024 05:48;Vendas Presencial;355708;Marketplace C
14/01/2024 06:47;Marketplace;570276;Marketplace A
15/01/2024 20:42;Marketplace;639987;Site SP
17/01/2024 03:39;Serviços;501471;Marketplace A
19/01/2024 17:54;Vendas Online;395696;Loja Física SP
20/01/2024 05:50;Serviços;437528;Marketplace A
21/01/2024 11:18;Assinaturas;42709;Marketplace C
24/01/2024 13:55;Assinaturas;417827;Marketplace A
25/01/2024 03:20;Vendas Online;367412;Marketplace A
29/01/2024 07:46;Serviços;686259;Marketplace C
02/02/2024 19:41;Serviços;468225;Marketplace A
05/02/2024 00:47;Serviços;451169;Marketplace C
06/02/2024 23:57;Assinaturas;435719;Marketplace A
07/02/2024 05:53;Marketplace;748988;Loja Física SP
10/02/2024 14:55;Vendas Online;767505;Marketplace A
10/02/2024 15:55;Marketplace;750256;Site SP
13/02/2024 11:00;Marketplace;562741;Marketplace C
14/02/2024 05:35;Serviços;756752;Marketplace A
16/02/2024 10:38;Serviços;768498;Site SP
19/02/2024 12:05;Assinaturas;687102;Marketplace C
20/02/2024 07:28;Vendas Online;532143;Marketplace C
21/02/2024 22:18;Marketplace;433943;Marketplace A
22/02/2024 11:25;Assinaturas;445997;Marketplace C
22/02/2024 17:07;Vendas Online;559812;Loja Física SP
22/02/2024 21:05;Assinaturas;647098;Marketplace A
23/02/2024 03:46;Vendas Online;611732;Marketplace A
24/02/2024 14:47;Assinaturas;595848;Marketplace C
26/02/2024 08:12;Vendas Online;663253;Loja Física SP
26/02/2024 18:46;Assinaturas;774617;Marketplace C
27/02/2024 18:38;Vendas Presencial;398202;Marketplace A
01/03/2024 03:47;Vendas Online;522912;Loja Física SP
02/03/2024 01:11;Marketplace;372224;Marketplace A
03/03/2024 11:12;Vendas Presencial;39907;Loja Física SP
04/03/2024 07:53;Assinaturas;445108;Marketplace C
04/03/2024 08:31;Vendas Presencial;391172;Marketplace A
05/03/2024 09:39;Vendas Online;453553;Site SP
10/03/2024 21:31;Serviços;442389;Marketplace C
13/03/2024 12:44;Vendas Online;534837;Marketplace A
14/03/2024 09:54;Vendas Presencial;601605;Site SP
15/03/2024 10:54;Assinaturas;559031;Loja Física SP
16/03/2024 16:17;Assinaturas;413332;Site SP
17/03/2024 21:43;Vendas Online;427399;Marketplace A
18/03/2024 10:51;Serviços;527174;Site SP
22/03/2024 00:11;Serviços;328615;Marketplace C
22/03/2024 15:43;Assinaturas;459789;Loja Física SP
22/03/2024 16:49;Assinaturas;420477;Marketplace A
25/03/2024 20:25;Assinaturas;454191;Loja Física SP
25/03/2024 22:49;Serviços;461452;Marketplace C
29/03/2024 15:43;Vendas Presencial;432413;Site SP
31/03/2024 01:27;Vendas Online;512257;Loja Física SP
01/04/2024 20:57;Vendas Online;607561;Site SP
04/04/2024 05:15;Vendas Presencial;472656;Loja Física SP
06/04/2024 21:37;Marketplace;39037;Marketplace C
07/04/2024 05:58;Marketplace;411271;Loja Física SP
09/04/2024 14:26;Serviços;369368;Site SP
10/04/2024 02:59;Vendas Presencial;626025;Marketplace C
10/04/2024 20:44;Vendas Online;641634;Marketplace A
12/04/2024 13:38;Serviços;52629;Marketplace C
13/04/2024 06:40;Marketplace;410561;Site SP
15/04/2024 22:01;Vendas Online;461721;Marketplace A
16/04/2024 17:23;Vendas Online;576169;Marketplace C
16/04/2024 23:26;Marketplace;600155;Loja Física SP
18/04/2024 13:30;Vendas Presencial;642093;Marketplace C
21/04/2024 14:50;Vendas Presencial;580784;Site SP
23/04/2024 21:15;Serviços;647653;Loja Física SP
26/04/2024 01:17;Vendas Online;372804;Loja Física SP
26/04/2024 10:28;Vendas Presencial;380112;Marketplace C
28/04/2024 14:24;Assinaturas;415832;Marketplace C
29/04/2024 03:52;Marketplace;441569;Site SP
29/04/2024 04:23;Marketplace;505572;Marketplace C
01/05/2024 06:10;Assinaturas;37469;Marketplace C
02/05/2024 16:21;Vendas Presencial;590328;Marketplace A
04/05/2024 23:42;Vendas Presencial;514753;Marketplace A
05/05/2024 04:43;Marketplace;333364;Marketplace A
09/05/2024 05:15;Assinaturas;480675;Site SP
10/05/2024 14:27;Assinaturas;530467;Marketplace C
11/05/2024 05:13;Vendas Online;322511;Marketplace C
11/05/2024 18:46;Assinaturas;472981;Marketplace C
12/05/2024 08:37;Serviços;530795;Site SP
12/05/2024 21:06;Marketplace;308133;Marketplace A
14/05/2024 03:29;Serviços;378715;Marketplace C
16/05/2024 14:56;Assinaturas;478906;Marketplace C
17/05/2024 13:18;Vendas Online;550022;Site SP
19/05/2024 19:27;Assinaturas;428941;Marketplace C
20/05/2024 05:27;Assinaturas;574859;Site SP
21/05/2024 20:09;Marketplace;489427;Loja Física SP
26/05/2024 13:47;Marketplace;392434;Marketplace A
27/05/2024 12:02;Assinaturas;456705;Marketplace C
30/05/2024 01:32;Serviços;531802;Loja Física SP
30/05/2024 15:33;Serviços;562892;Site SP
01/06/2024 14:09;Vendas Online;504808;Site SP
02/06/2024 12:48;Vendas Presencial;543724;Site SP
03/06/2024 10:20;Vendas Presencial;733364;Loja Física SP
04/06/2024 01:48;Vendas Online;571285;Loja Física SP
07/06/2024 02:32;Marketplace;576316;Marketplace C
08/06/2024 09:46;Serviços;730374;Site SP
08/06/2024 23:37;Serviços;750894;Marketplace A
10/06/2024 18:47;Assinaturas;591327;Marketplace C
12/06/2024 09:18;Serviços;727471;Marketplace A
13/06/2024 23:46;Vendas Presencial;71081;Marketplace C
14/06/2024 12:56;Serviços;439916;Marketplace C
21/06/2024 22:51;Serviços;610084;Marketplace C
23/06/2024 11:56;Assinaturas;674931;Marketplace A
23/06/2024 12:28;Vendas Presencial;551557;Loja Física SP
23/06/2024 12:33;Vendas Presencial;552016;Site SP
24/06/2024 01:53;Marketplace;572947;Marketplace C
24/06/2024 23:20;Marketplace;556338;Site SP
25/06/2024 20:10;Vendas Online;497862;Marketplace C
27/06/2024 08:57;Serviços;711353;Marketplace A
29/06/2024 09:05;Serviços;466823;Marketplace C
01/07/2024 00:43;Assinaturas;570453;Loja Física SP
02/07/2024 00:52;Serviços;387563;Marketplace C
02/07/2024 05:47;Serviços;370526;Site SP
03/07/2024 19:40;Vendas Presencial;424933;Marketplace A
06/07/2024 22:00;Assinaturas;648527;Marketplace C
08/07/2024 17:27;Serviços;564951;Loja Física SP
10/07/2024 02:25;Vendas Online;565298;Marketplace A
11/07/2024 06:29;Marketplace;600755;Site SP
20/07/2024 08:53;Assinaturas;594204;Marketplace C
20/07/2024 16:51;Marketplace;400677;Marketplace C
21/07/2024 05:00;Assinaturas;374267;Marketplace C
24/07/2024 17:17;Assinaturas;576974;Marketplace A
25/07/2024 08:43;Marketplace;560338;Marketplace A
25/07/2024 12:34;Vendas Online;525979;Site SP
25/07/2024 22:28;Vendas Presencial;641287;Marketplace C
27/07/2024 12:52;Marketplace;545786;Loja Física SP
27/07/2024 20:13;Serviços;696126;Marketplace C
29/07/2024 21:28;Vendas Online;671588;Marketplace C
30/07/2024 06:28;Vendas Presencial;415539;Site SP
30/07/2024 22:08;Vendas Online;409429;Loja Física SP
01/08/2024 21:08;Vendas Online;898713;Marketplace C
02/08/2024 00:12;Marketplace;732389;Marketplace A
03/08/2024 11:01;Vendas Online;77589;Marketplace A
06/08/2024 06:01;Marketplace;722614;Site SP
06/08/2024 16:24;Serviços;563233;Marketplace C
07/08/2024 23:05;Assinaturas;559914;Site SP
08/08/2024 08:46;Marketplace;609413;Marketplace A
10/08/2024 14:12;Serviços;907346;Marketplace C
11/08/2024 19:27;Vendas Presencial;819111;Site SP
13/08/2024 05:52;Marketplace;763565;Site SP
16/08/2024 16:29;Marketplace;743448;Marketplace C
17/08/2024 22:30;Assinaturas;567237;Loja Física SP
24/08/2024 10:51;Assinaturas;614177;Marketplace A
25/08/2024 19:37;Serviços;477127;Marketplace C
26/08/2024 04:20;Vendas Online;558257;Marketplace C
26/08/2024 06:12;Assinaturas;665795;Marketplace C
26/08/2024 11:42;Serviços;649494;Loja Física SP
28/08/2024 04:54;Serviços;459503;Loja Física SP
29/08/2024 22:04;Vendas Presencial;532104;Marketplace A
30/08/2024 06:19;Vendas Presencial;73987;Marketplace C
01/09/2024 00:21;Vendas Presencial;428547;Site SP
02/09/2024 00:16;Vendas Presencial;526372;Marketplace C
02/09/2024 07:56;Vendas Presencial;449047;Marketplace C
02/09/2024 12:49;Vendas Presencial;363937;Marketplace C
03/09/2024 17:42;Assinaturas;496044;Marketplace A
05/09/2024 14:22;Vendas Presencial;584283;Site SP
06/09/2024 02:42;Vendas Online;384138;Marketplace C
11/09/2024 23:25;Vendas Presencial;522887;Loja Física SP
12/09/2024 02:48;Serviços;396063;Marketplace C
14/09/2024 14:10;Vendas Presencial;57845;Site SP
15/09/2024 00:04;Assinaturas;447848;Loja Física SP
16/09/2024 08:53;Vendas Presencial;556613;Site SP
20/09/2024 03:11;Vendas Online;361379;Loja Física SP
22/09/2024 23:29;Assinaturas;398996;Site SP
23/09/2024 09:28;Serviços;587626;Site SP
27/09/2024 20:51;Vendas Online;448316;Loja Física SP
29/09/2024 20:34;Vendas Online;484698;Marketplace A
29/09/2024 21:34;Assinaturas;533013;Site SP
30/09/2024 07:12;Vendas Online;482386;Loja Física SP
30/09/2024 15:26;Serviços;534257;Site SP
01/10/2024 05:52;Vendas Online;545599;Site SP
02/10/2024 23:11;Vendas Presencial;454591;Marketplace C
03/10/2024 22:26;Assinaturas;521928;Marketplace C
04/10/2024 02:41;Assinaturas;616786;Loja Física SP
09/10/2024 23:13;Assinaturas;430502;Marketplace C
13/10/2024 03:17;Marketplace;613383;Site SP
15/10/2024 18:52;Vendas Presencial;442235;Marketplace A
19/10/2024 07:30;Vendas Online;434598;Site SP
20/10/2024 14:43;Marketplace;63605;Marketplace A
20/10/2024 18:42;Vendas Presencial;358963;Site SP
21/10/2024 18:49;Marketplace;55915;Marketplace A
23/10/2024 04:12;Vendas Presencial;337647;Site SP
23/10/2024 09:32;Assinaturas;624757;Marketplace C
23/10/2024 18:57;Serviços;371057;Marketplace A
23/10/2024 21:01;Vendas Presencial;601741;Marketplace C
24/10/2024 13:10;Marketplace;436759;Marketplace A
24/10/2024 13:48;Vendas Online;565436;Site SP
28/10/2024 20:10;Marketplace;471729;Site SP
29/10/2024 13:10;Assinaturas;56278;Marketplace C
29/10/2024 13:28;Serviços;398009;Site SP
01/11/2024 18:36;Assinaturas;407186;Marketplace C
02/11/2024 03:15;Assinaturas;652225;Marketplace C
04/11/2024 02:07;Serviços;671755;Marketplace A
04/11/2024 04:20;Serviços;404906;Site SP
07/11/2024 23:12;Vendas Online;679502;Marketplace C
10/11/2024 22:59;Serviços;635867;Loja Física SP
12/11/2024 12:25;Serviços;371926;Marketplace C
12/11/2024 15:11;Vendas Online;675542;Marketplace C
13/11/2024 15:41;Assinaturas;489064;Marketplace C
13/11/2024 22:01;Serviços;517564;Loja Física SP
14/11/2024 21:53;Vendas Online;609703;Site SP
15/11/2024 22:30;Vendas Presencial;649166;Marketplace A
19/11/2024 04:06;Vendas Online;499655;Marketplace A
19/11/2024 13:09;Assinaturas;623864;Marketplace A
21/11/2024 20:28;Vendas Online;637554;Site SP
23/11/2024 19:11;Assinaturas;606777;Site SP
23/11/2024 23:06;Serviços;358842;Marketplace A
24/11/2024 18:06;Vendas Presencial;430327;Loja Física SP
25/11/2024 14:55;Assinaturas;456332;Marketplace C
28/11/2024 22:19;Vendas Presencial;603043;Marketplace A
01/12/2024 23:40;Assinaturas;571333;Marketplace A
03/12/2024 16:32;Vendas Presencial;638401;Loja Física SP
04/12/2024 06:18;Vendas Presencial;64291;Loja Física SP
04/12/2024 15:00;Marketplace;596676;Marketplace A
08/12/2024 05:04;Vendas Presencial;555614;Marketplace C
10/12/2024 09:30;Marketplace;625317;Marketplace A
12/12/2024 00:06;Assinaturas;569064;Marketplace A
12/12/2024 00:39;Marketplace;57256;Marketplace C
12/12/2024 03:00;Vendas Presencial;40716;Loja Física SP
12/12/2024 03:21;Vendas Presencial;528913;Site SP
12/12/2024 23:27;Marketplace;525996;Marketplace A
14/12/2024 15:35;Vendas Presencial;498553;Marketplace C
14/12/2024 23:21;Vendas Online;54797;Marketplace A
15/12/2024 21:53;Vendas Presencial;526592;Marketplace A
16/12/2024 12:23;Marketplace;615319;Loja Física SP
22/12/2024 06:30;Marketplace;615842;Site SP
29/12/2024 05:34;Marketplace;500058;Site SP
30/12/2024 09:59;Serviços;560941;Site SP
30/12/2024 14:57;Assinaturas;557155;Site SP
31/12/2024 01:27;Assinaturas;459926;Marketplace A
04/01/2025 23:33;Vendas Online;600527;Site SP
05/01/2025 02:27;Assinaturas;606398;Loja Física SP
05/01/2025 07:49;Marketplace;487195;Marketplace A
05/01/2025 15:05;Vendas Presencial;728284;Loja Física SP
05/01/2025 15:48;Assinaturas;464933;Marketplace A
06/01/2025 05:12;Assinaturas;731783;Marketplace A
08/01/2025 23:17;Marketplace;603077;Site SP
10/01/2025 10:03;Vendas Online;475161;Marketplace C
10/01/2025 10:30;Vendas Presencial;41696;Site SP
13/01/2025 12:01;Vendas Online;725413;Site SP
15/01/2025 07:46;Assinaturas;386766;Marketplace C
18/01/2025 21:55;Serviços;714315;Site SP
18/01/2025 22:17;Serviços;698239;Site SP
18/01/2025 23:52;Vendas Online;69296;Marketplace A
19/01/2025 20:51;Assinaturas;68906;Marketplace A
21/01/2025 09:01;Vendas Presencial;445047;Marketplace A
24/01/2025 23:44;Marketplace;469979;Marketplace A
27/01/2025 12:43;Vendas Presencial;410551;Site SP
27/01/2025 14:14;Marketplace;416725;Marketplace A
31/01/2025 20:38;Vendas Online;715927;Site SP
02/02/2025 10:05;Vendas Online;335512;Marketplace C
02/02/2025 22:49;Assinaturas;369323;Marketplace A
