Data,Categoria,Receita,Canal de Venda
01/09/2024  00:21:52,Vendas Presencial,4285.47,Site SP
02/09/2024  00:16:07,Vendas Presencial,5263.72,Marketplace C
02/09/2024  07:56:55,Vendas Presencial,4490.47,Marketplace C
02/09/2024  12:49:12,Vendas Presencial,3639.37,Marketplace C
03/09/2024  17:42:15,Assinaturas,4960.44,Marketplace A
05/09/2024  14:22:11,Vendas Presencial,5842.83,Site SP
06/09/2024  02:42:48,Vendas Online,3841.38,Marketplace C
11/09/2024  23:25:54,Vendas Presencial,5228.87,Loja Física SP
12/09/2024  02:48:06,Serviços,3960.63,Marketplace C
14/09/2024  14:10:16,Vendas Presencial,5784.5,Site SP
15/09/2024  00:04:40,Assinaturas,4478.48,Loja Física SP
16/09/2024  08:53:10,Vendas Presencial,5566.13,Site SP
20/09/2024  03:11:18,Vendas Online,3613.79,Loja Física SP
22/09/2024  23:29:31,Assinaturas,3989.96,Site SP
23/09/2024  09:28:03,Serviços,5876.26,Site SP
27/09/2024  20:51:33,Vendas Online,4483.16,Loja Física SP
29/09/2024  20:34:18,Vendas Online,4846.98,Marketplace A
29/09/2024  21:34:13,Assinaturas,5330.13,Site SP
30/09/2024  07:12:05,Vendas Online,4823.86,Loja Física SP
30/09/2024  15:26:48,Serviços,5342.57,Site SP
