Data;Categoria;Receita;Canal de Venda
09/10/2024 07:39;Acessórios;6635;Loja Física
17/10/2024 19:24;Calçados;50;Distribuidor
21/10/2024 07:58;Calçados;36657;Marketplace
19/10/2024 21:41;Produtos Eletrônicos;41433;Marketplace
16/10/2024 04:55;Beleza;42131;Loja Física
07/10/2024 02:26;Acessórios;4525;Loja Física
22/10/2024 06:45;Beleza;55445;Loja Física
05/10/2024 13:54;Casa & Cozinha;35032;Marketplace
09/10/2024 22:54;Produtos Eletrônicos;62656;Loja Física
27/10/2024 09:46;Acessórios;18201;Loja Física
30/10/2024 11:38;Esportes;17785;Distribuidor
20/10/2024 13:38;Acessórios;50;Marketplace
06/10/2024 13:50;Produtos Eletrônicos;49371;Loja Física
16/10/2024 03:14;Acessórios;73212;Marketplace
31/10/2024 11:10;Produtos Eletrônicos;50;Marketplace
23/10/2024 23:51;Produtos Eletrônicos;29386;Loja Física
12/10/2024 04:57;Produtos Eletrônicos;13327;Distribuidor
01/10/2024 00:59;Beleza;31438;Distribuidor
24/10/2024 19:16;Produtos Eletrônicos;96232;Distribuidor
23/10/2024 16:27;Calçados;34412;Distribuidor
31/10/2024 08:18;Calçados;59735;Loja Física
29/10/2024 12:53;Casa & Cozinha;50;Marketplace
02/10/2024 01:21;Acessórios;39418;Loja Física
06/10/2024 08:10;Calçados;20177;Loja Física
