Data;Tipo de Despesa;Valor;Descrição
2025-09-28 00:00:00;Logística;8345;Frete
2025-09-09 00:00:00;Administrativo;11224;Software
2025-09-28 00:00:00;Marketing;8115;Energia
2025-09-20 00:00:00;Operacional;9919;Frete
2025-09-23 00:00:00;Logística;4892;Software
2025-09-12 00:00:00;Operacional;10377;Software
2025-09-08 00:00:00;Operacional;8454;Frete
2025-09-11 00:00:00;Marketing;9909;Frete
2025-09-05 00:00:00;Operacional;7458;Serviços
2025-09-22 00:00:00;Marketing;6311;Energia
2025-09-26 00:00:00;Logística;4414;Energia
2025-09-09 00:00:00;Logística;8688;Campanha de mídia
2025-09-11 00:00:00;Administrativo;4585;Serviços
2025-09-22 00:00:00;Operacional;9141;Energia
2025-09-30 00:00:00;Operacional;7437;Software
