Data;Tipo de Despesa;Valor;Descrição
2025-09-07 00:00:00;Logística;8681;Software
2025-09-12 00:00:00;Administrativo;3527;Serviços
2025-09-10 00:00:00;Logística;11732;Salários
2025-09-28 00:00:00;Logística;6947;Campanha de mídia
2025-09-24 00:00:00;Operacional;9937;Frete
2025-09-01 00:00:00;Marketing;5496;Campanha de mídia
2025-09-30 00:00:00;Marketing;3642;Software
2025-09-20 00:00:00;Administrativo;10496;Software
2025-09-13 00:00:00;Operacional;5509;Frete
2025-09-02 00:00:00;Operacional;6690;Software
2025-09-10 00:00:00;Operacional;6197;Salários
2025-09-14 00:00:00;Logística;10177;Software
2025-09-27 00:00:00;Marketing;7526;Campanha de mídia
2025-09-13 00:00:00;Marketing;11344;Salários
2025-09-28 00:00:00;Administrativo;4871;Energia
