Data;Categoria;Receita;Canal de Venda
2025-09-03 00:00:00;E-commerce;11389;Site Próprio
2025-09-07 00:00:00;E-commerce;21951;Mercado Livre
2025-09-03 00:00:00;E-commerce;39885;Mercado Livre
2025-09-29 00:00:00;E-commerce;38424;Loja Física
2025-09-09 00:00:00;Parcerias;32833;Site Próprio
2025-09-03 00:00:00;Vendas Diretas;11308;Loja Física
2025-09-25 00:00:00;E-commerce;18465;Shopee
2025-09-27 00:00:00;Vendas Diretas;28876;Loja Física
2025-09-14 00:00:00;Serviços;13900;Shopee
2025-09-17 00:00:00;Parcerias;15456;Site Próprio
2025-09-19 00:00:00;Vendas Diretas;20922;Mercado Livre
2025-09-21 00:00:00;Parcerias;17388;Loja Física
2025-09-09 00:00:00;E-commerce;38628;Mercado Livre
2025-09-04 00:00:00;Parcerias;8574;Shopee
2025-09-18 00:00:00;Parcerias;39203;Shopee
2025-09-08 00:00:00;Serviços;19071;Site Próprio
2025-09-14 00:00:00;E-commerce;24733;Shopee
2025-09-12 00:00:00;Parcerias;36353;Mercado Livre
2025-09-02 00:00:00;E-commerce;33192;Loja Física
2025-09-11 00:00:00;E-commerce;33136;Mercado Livre
